"TAHUN","SEMESTER","MAHASISWA","PROSEN_HADIR_RATA_RATA"
2021,2,19756,99.43
2022,1,21427,89.38
2022,1,20769,98.13
2022,1,21261,94.71
2022,1,22169,98.21
2022,1,21373,92.86
2022,1,21203,10.71
2022,1,19311,90.63
2022,1,23056,100
2022,1,22403,96.88
2022,1,20800,97.73
2022,1,21873,99.38
2022,1,19308,82.5
2022,1,21588,100
2022,1,19912,89.06
2022,1,18873,95.31
2022,1,21605,99.04
2022,1,22040,98.44
2022,1,21439,95
2022,1,21272,100
2022,1,19114,100
2022,1,22884,93.13
2022,1,17722,93.75
2022,2,22255,98.3
2022,2,21062,96.02
2022,2,20184,96.88
2022,2,22383,93.75
2022,2,22240,92.05
2022,2,22874,95.14
2022,2,20553,95.83
2022,2,22140,89.38
2022,2,23044,93.75
2023,1,23319,94.64
2023,1,24111,100
2023,1,21799,92.36
2023,1,22756,98.96
2023,1,22246,99.48
2023,1,22854,86.88
2023,1,22932,88.89
2023,1,22461,90.63
2023,1,24013,98.75
2023,1,23740,96.25
2023,1,21832,97.5
2023,1,24652,100
2023,1,22084,98.13
2023,1,24053,100
2023,1,23780,100
2023,1,23146,96.88
2023,1,23253,100
2023,1,22977,100
2023,1,23954,98.13
2023,1,24183,95.63
2023,1,22570,100
2023,1,24040,95.63
2023,1,22474,99.38
2023,1,24343,97.16
2023,1,24597,79.55
2023,2,24202,98.75
2023,2,20165,95.83
2023,2,23762,97.92
2023,2,23943,98.96
2023,2,24301,98.96
2023,2,20332,96.88
2023,2,22154,98.3
2023,2,22875,96.53
2023,2,19332,84.38
2023,2,22707,89.77
2023,2,22373,98.3
2023,2,24543,97.22
2023,2,23981,88.19
2023,2,24434,99.06
2023,2,23171,96.59
2023,2,23965,96.88
2023,2,22694,96.88
2023,2,23541,99.43
2023,2,22087,86.25
2023,2,24726,96.59
2024,1,27102,89.77
2024,1,24292,94.89
2024,1,24113,98.75
2024,1,22399,97.92
2024,1,25352,97.6
2024,1,23659,99.38
2024,1,23791,100
2024,1,27010,99.38
2024,1,25411,88.07
2024,1,26368,100
2024,1,21454,87.5
2024,1,24533,98.44
2024,1,23749,92.5
2024,1,24223,95.83
2024,1,25616,100
2024,1,25477,97.22
2024,1,26240,94.64
2024,1,26589,96.25
2024,1,24002,95
2024,1,25961,99.55
2024,1,25734,99.55
2024,1,22528,99.38
2024,1,25566,95.45
2024,1,26168,99.43
2024,1,26341,95.98
2024,1,22012,98.13
2024,1,25490,97.22
2024,1,26181,92.5
2024,1,22837,99.11
2024,1,22257,99.11
2024,1,25656,91.83
2024,1,24263,91.25
2024,1,23539,86.25
2024,1,23851,69.79
2024,2,24717,93.75
2024,2,20820,96.88
2024,2,26821,98.75
2024,2,23688,96.88
2024,2,24341,100
2024,2,24272,97.6
2024,2,26399,97.4
2024,2,25790,98.44
2024,2,25548,100
2024,2,21105,95.83
2024,2,25643,98.3
2024,2,24228,99.22
2024,2,26135,99.43
2024,2,20816,100
2025,1,26836,90.38
2025,1,28160,95.19
2025,1,27330,95.83
2025,1,28260,98.75
2025,1,26173,100
2025,1,28804,100
2025,1,25896,98.75
2025,1,25597,97.92
2025,1,27295,98.75
2025,1,28945,94.79
2025,1,29171,93.75
2025,1,25629,100
2025,1,27253,98.13
2025,1,28142,100
2025,1,25649,99.48
2025,1,28527,98.3
2025,1,27759,96.88
2025,1,27801,98.96
2025,1,25775,94.38
2025,1,28688,94.38
2025,1,26882,100
2025,1,22019,99.38
2025,1,27562,99.38
2025,1,26834,100
2025,1,23577,97.32
2025,1,28395,100
2025,1,27578,100
2025,1,25838,93.13
2025,1,22712,94.53
2025,1,23031,100
2025,1,27375,100
2025,1,28351,98.13
2022,1,20326,98.44
2022,1,21973,97.32
2022,1,21520,100
2022,1,20897,97.5
2022,1,19899,96.88
2022,1,21501,98.13
2022,1,22435,97.77
2022,1,19286,93.75
2022,1,22797,6.25
2022,1,22542,97.5
2022,1,17607,98.21
2022,1,19948,89.06
2022,2,23290,93.75
2022,2,22887,97.4
2022,2,22491,91.88
2022,2,23036,97.4
2022,2,21606,93.75
2022,2,22193,95.83
2022,2,21469,92.61
2022,2,20463,95.83
2022,2,19923,100
2022,2,22447,93.13
2023,1,24025,99.06
2023,1,22812,99.38
2023,1,22240,97.12
2023,1,20684,90.1
2023,1,24315,100
2023,1,22158,96.59
2023,1,22027,97.92
2023,1,23546,99.48
2023,1,21190,87.5
2023,1,21543,90.63
2023,2,24347,96.35
2023,2,21128,87.5
2023,2,21578,100
2023,2,20837,100
2023,2,23516,93.44
2023,2,24168,98.86
2023,2,24063,99.38
2023,2,22792,92.61
2023,2,23733,99.43
2023,2,24506,88.19
2023,2,23949,97.73
2023,2,22622,96.25
2023,2,22787,94.32
2024,1,26482,100
2024,1,20815,81.88
2024,1,23150,97.6
2024,1,24736,89.2
2024,1,27063,97.66
2024,1,22469,92.79
2024,1,25635,99.38
2024,1,25875,100
2024,1,24455,94.38
2024,1,27040,97.92
2024,1,24696,98.13
2024,1,25401,100
2024,1,26845,97.6
2024,1,21083,96.88
2024,2,26646,97.5
2024,2,25589,96.53
2024,2,25467,94.89
2024,2,23995,96.59
2024,2,22223,93.75
2024,2,26418,97.16
