"ID_KOTA";"ID_PROPINSI";"NAMA_KOTA";"KET_KOTA";"KABUPATEN"
1;1;"Surabaya";"35785";0
3;3;"Jakarta";"";1
4;4;"Denpasar";"";0
6;1;"Malang";"35731";0
7;6;"Banda Aceh";"";0
8;7;"Medan";"";0
9;2;"Semarang";"";1
11;6;"Aceh Selatan";"11013
";1
12;6;"Aceh Tenggara";"11021
";1
13;6;"Aceh Timur";"11036
";1
14;6;"Aceh Tengah";"11044
";1
15;6;"Aceh Barat";"11052
";1
16;6;"Aceh Besar";"11067
";1
17;6;"Pidie";"11075
";1
18;6;"Aceh Utara";"11083
";1
19;6;"Bireun";"11091
";1
20;6;"Aceh Singkil";"11102
";1
21;6;"Simeulue";"11117
";1
22;6;"Nagan Raya";"11156
";1
23;6;"Banda Aceh";"11713
";0
24;6;"Sabang";"11721
";1
25;6;"Lhokseumawe";"11736
";0
26;6;"Langsa";"11744
";1
27;6;"Langsa";"11744
";0
28;7;"NIAS";"12016
";1
29;7;"Tapanuli Selatan";"12024
";1
30;7;"Tapanuli Tengah";"12032
";1
31;7;"Tapanuli Utara";"12047
";1
32;7;"Labuhan Batu";"12055
";1
33;7;"Asahan";"12063
";1
34;7;"Simalungun";"12071
";1
35;7;"Dairi";"12086
";1
36;7;"Karo";"12094
";1
37;7;"Deli Serdang";"12105
";1
38;7;"Langkat";"12113
";1
39;7;"Toba Samosir";"12121
";1
40;7;"Mandailing Natal";"12136
";1
41;7;"Sibolga";"12716
";1
42;7;"Tanjung Balai";"12724
";1
43;7;"P.Siantar";"12732
";0
44;7;"Tebingtinggi";"12747
";1
46;7;"Binjai";"12763
";0
47;7;"P.Sidempuan";"12771
";1
48;11;"Pesisir Selatan";"13012
";1
49;11;"Solok";"13027
";0
50;11;"Sawah Lunto";"13035
";0
51;11;"Tanah Datar";"13043
";1
52;11;"Padang Pariaman";"13051
";1
53;11;"Agam";"13066
";1
54;11;"Limapuluhkota";"13074
";1
55;11;"Pasaman";"13082
";1
56;11;"Kep.Mentawai";"13097
";1
57;11;"Padang";"13712
";1
58;11;"Solok";"13727
";1
59;11;"Sawah Lunto";"13735
";1
60;11;"Padang Panjang";"13743
";0
61;11;"Bukit Tinggi";"13751
";0
62;11;"Payakumbuh";"13766
";0
63;11;"Pariaman";"13774
";0
64;8;"Indragiri Hulu";"14015
";1
65;8;"Indragiri Hilir";"14023
";1
66;8;"Kepulauan Riau";"14031
";1
67;8;"Kampar";"14046
";1
68;8;"Bengkalis";"14054
";1
69;9;"Karimun";"14062
";1
70;8;"Kuantan Singingi";"14077
";1
71;8;"Natuna";"14085
";1
72;8;"Siak";"14093
";1
73;8;"Rokan Hilir";"14104
";1
74;8;"Rokan Hulu";"14112
";1
75;8;"Pelalawan";"14127
";1
76;8;"Pekanbaru";"14715
";1
77;9;"Batam";"14723
";0
78;8;"Dumai";"14731
";0
79;9;"Tanjung Pinang";"14746
";0
80;10;"Kerinci";"15011
";1
81;10;"Batanghari";"15034
";1
82;10;"Sarolangun";"15065
";1
83;10;"Merangin";"15073
";1
84;10;"Tanj.Jabung Timur";"15081
";1
85;10;"Tanj.Jabung Barat";"15096
";1
86;10;"Muaro Jambi";"15107
";1
87;10;"Bungo";"15115
";1
88;10;"Tebo";"15123
";1
89;10;"Jambi";"15711
";0
90;12;"Ogan Komering Ulu";"16014
";1
91;12;"Ogan Komering Ilir";"16022
";1
92;12;"Muara Enim";"16037
";1
93;12;"Lahat";"16045
";1
94;12;"Musi Rawas";"16053
";1
95;12;"Musi Banyuasin";"16061
";1
96;12;"Palembang";"16714
";0
97;12;"Prabumulih";"16737
";1
98;12;"Pagaralam";"16745
";0
99;12;"Lubuklinggau";"16753
";0
100;14;"Bengkulu Selatan";"17017
";1
101;14;"Rejanglebong";"17025
";1
102;14;"Bengkulu Utara";"17033
";1
103;14;"Bengkulu";"17717
";0
104;13;"Lampung Selatan";"18013
";1
105;13;"Lampung Tengah";"18021
";1
106;13;"Lampung Utara";"18036
";1
107;13;"Lampung Barat";"18044
";1
108;13;"Tanggamus";"18052
";1
109;13;"Tulang Bawang";"18067
";1
110;13;"Lampung Timur";"18075
";1
111;13;"Way Kanan";"18083
";1
112;13;"Bandar Lampung";"18713
";0
113;13;"Metro";"18721
";0
114;15;"Bangka";"19016
";1
115;15;"Belitung";"19024
";1
116;15;"Pangkal Pinang";"19716
";1
117;16;"Pandeglang";"30014
";1
118;16;"Lebak";"30022
";1
119;16;"Tangerang";"30037
";1
120;16;"Serang";"30045
";0
121;16;"Tangerang";"30714
";0
122;16;"Cilegon";"30722
";0
123;3;"Jakarta Selatan";"31717
";0
124;3;"Jakarta Timur";"31725
";0
125;3;"Jakarta Pusat";"31733
";0
126;3;"Jakarta Barat";"31741
";0
127;3;"Jakarta Utara";"31756
";0
128;17;"Bogor";"32036
";1
129;17;"Sukabumi";"32044
";1
130;17;"Cianjur";"32052
";1
131;17;"Bandung";"32067
";1
132;17;"Garut";"32075
";1
133;17;"Tasikmalaya";"32083
";0
134;17;"Ciamis";"32091
";1
135;17;"Kuningan";"32102
";1
137;17;"Cirebon";"32117";1
138;17;"Majalengka";"32125
";1
139;17;"Sumedang";"32133
";1
140;17;"Indramayu";"32141
";1
141;17;"Subang";"32156
";1
