"MAHASISWA","IPK","JUMLAH_SKS","JUMLAH_SKS_WAJIB","JUMLAH_SKS_PILIHAN"
23651,2.13,99,77,22
23759,2.49,100,77,23
24588,2.46,100,77,23
24609,1.35,39,39,0
24020,2.39,99,77,22
24111,2.55,100,77,23
22923,3.44,110,87,23
22800,3.38,110,87,23
24134,2.52,99,77,22
24182,2.46,100,77,23
24229,2.5,100,77,23
24596,2.36,99,77,22
23874,2.46,99,77,22
24266,0,20,20,0
24628,2.61,100,77,23
24093,2.49,99,77,22
24209,2.6,100,77,23
24408,2.48,100,77,23
23794,2.55,99,77,22
23821,1.81,99,78,22
24492,2.78,100,77,23
24536,2.27,98,77,22
24362,2.57,100,77,23
24582,2.6,99,77,22
22819,3.66,112,87,25
23555,0,0,0,0
23599,2.83,100,77,23
23626,2.59,100,77,23
22828,3.6,112,87,25
22945,3.49,112,87,25
23056,3.23,110,87,23
23067,3.35,110,87,23
22766,3.33,110,87,23
22873,3.48,112,87,25
22787,3.03,108,87,21
23029,3.32,112,87,25
23051,2.47,90,87,3
24053,2.56,100,77,23
22170,3.3,110,87,23
22099,3.75,116,87,29
23992,2.58,100,77,23
23580,2.25,83,81,2
23640,2.61,99,77,22
22720,3.51,109,87,22
22653,3.45,110,87,23
22546,3.46,110,87,23
22737,3.21,40,40,0
22688,3.26,40,40,0
22160,3.57,115,87,28
22277,3.56,111,87,24
22291,3.69,109,87,22
22601,3.55,112,87,25
22619,3.77,116,87,29
22702,3.67,119,87,32
22631,3.51,118,87,31
22197,3.46,110,87,23
27515,3.24,20,20,0
28695,3.11,20,20,0
28168,3.35,20,20,0
27843,3.34,20,20,0
28223,3.03,20,20,0
29137,3.16,20,20,0
28984,2.86,20,20,0
28160,3.06,20,20,0
28081,3.15,20,20,0
28579,3.03,20,20,0
29007,3.15,20,20,0
27694,3.08,20,20,0
27982,3.16,20,20,0
28514,3.08,20,20,0
28341,2.98,20,20,0
28894,3.15,20,20,0
28320,3.13,20,20,0
27233,3.24,20,20,0
27482,3.09,20,20,0
29050,3.19,20,20,0
29117,3.25,20,20,0
27449,3.19,20,20,0
27580,3.05,20,20,0
27301,3.04,20,20,0
27404,3.13,20,20,0
27421,3.33,20,20,0
27958,3.3,20,20,0
28472,3.13,20,20,0
28524,0,0,0,0
29077,3.11,20,20,0
25845,3.39,59,58,1
25702,3.11,58,58,0
25917,3.27,59,58,1
26011,3.45,60,58,2
25958,0,0,0,0
25437,3.22,59,58,1
25643,3.28,59,58,1
26153,3.45,58,58,0
26317,3.55,59,58,1
25354,2.91,58,58,0
26554,3.36,58,58,0
26709,3.18,58,58,0
26467,3.34,59,58,1
26268,3.34,58,58,0
26491,3.38,58,58,0
25577,3.21,59,58,1
26627,3.3,58,58,0
26659,3.3,58,58,0
26346,3.36,59,58,1
25798,3.44,60,58,2
26578,3.36,58,58,0
22691,3.43,114,87,27
26819,3.12,58,58,0
26836,2.74,58,58,0
26402,3.39,59,58,1
25505,3.16,58,58,0
25373,3.18,58,58,0
25305,3.34,59,58,1
25311,3.15,58,58,0
26078,3,58,58,0
26197,3.4,59,58,1
24656,2.65,102,77,25
23117,3.24,110,87,23
22783,3.45,108,87,21
24711,2.58,98,77,21
24242,0,0,0,0
24196,2.47,97,77,20
24502,2.62,99,77,22
24377,2.86,100,77,23
24125,2.59,101,77,24
24460,2.59,100,77,23
24318,2.66,100,77,23
24082,2.42,97,77,20
24642,2.54,98,77,21
24160,2.55,98,77,21
24104,2.61,101,78,24
24427,2.55,98,77,21
23791,2.57,99,77,22
24480,2.54,99,77,22
24570,2.49,98,77,21
24587,2.49,98,77,21
24589,2.68,100,77,23
24625,0,20,20,0
22994,3.48,110,87,23
23088,3.56,112,87,25
23064,3.31,112,87,25
23570,2.49,99,77,22
22933,3.2,110,87,23
23017,3.56,112,87,25
22786,3.59,111,87,24
22804,3.46,111,87,24
23157,3.62,112,87,25
23054,3.45,111,87,24
23011,3.67,112,87,25
23038,3.29,39,39,0
22119,3.78,113,87,26
22918,3.26,115,87,28
22792,3.23,110,87,23
22822,3.54,116,87,29
22872,3.76,114,87,27
23846,0,0,0,0
22178,3.46,112,87,25
24211,2.6,99,77,22
24001,2.75,100,77,23
23582,2.68,100,77,23
23800,2.77,100,77,23
24048,2.48,99,77,22
23645,2.61,100,77,23
22240,3.56,112,87,25
22734,3.5,116,87,29
22687,3.55,115,87,28
22162,2.6,110,87,23
22284,3.55,115,87,28
22535,3.53,110,87,23
22573,3.58,112,87,25
22641,3.53,111,87,24
22612,3.58,115,87,28
22623,3.44,117,87,30
22715,3.43,110,87,23
21068,0,0,0,0
28156,3.34,20,20,0
28502,3.25,20,20,0
