"MAHASISWA","TAHUN","SEMESTER","IPK","SKS_PEROLEHAN"
22385,2025,1,3.41,0
22386,2025,1,3.41,12
22387,2025,1,3.38,23
22388,2025,1,3.49,16
22389,2025,1,3.55,9
22390,2025,1,3.73,17
22391,2025,1,3.46,20
22392,2025,1,2.85,0
22393,2025,1,3.08,14
22394,2025,1,3.45,20
22395,2025,1,3.1,0
22396,2025,1,3.46,13
22397,2025,1,3.72,13
22398,2025,1,3.36,18
22399,2025,1,3.12,0
22400,2025,1,3.36,12
22401,2025,1,2.99,0
22402,2025,1,3.1,0
22403,2025,1,3.02,0
22404,2025,1,3.29,17
22405,2025,1,2.97,0
22406,2025,1,3.69,17
22407,2025,1,3.36,0
22408,2025,1,3.28,11
22409,2025,1,3.14,0
22412,2025,1,2.48,0
22413,2025,1,3.19,3
22414,2025,1,3.16,0
22415,2025,1,3.18,0
22416,2025,1,2.9,13
22417,2025,1,2.91,0
22418,2025,1,3.34,14
22419,2025,1,3.38,12
22420,2025,1,3.39,14
22421,2025,1,3.67,16
22422,2025,1,3.44,11
22423,2025,1,3.06,0
22424,2025,1,3.76,17
22425,2025,1,2.99,3
22426,2025,1,3.56,19
22427,2025,1,3.4,12
22428,2025,1,3.64,21
22429,2025,1,3.36,20
22430,2025,1,3.23,11
22431,2025,1,3.25,0
22432,2025,1,3.49,9
22433,2025,1,3.32,0
22434,2025,1,3.27,14
22435,2025,1,3.05,10
22436,2025,1,2.55,19
22437,2025,1,3.19,19
22438,2025,1,3.1,6
22439,2025,1,3.66,10
22440,2025,1,3.29,12
22441,2025,1,3.04,0
22442,2025,1,3.51,20
22443,2025,1,3.19,3
22444,2025,1,3.45,0
22445,2025,1,3.17,0
22446,2025,1,3.49,20
22447,2025,1,3.01,0
22448,2025,1,3.38,17
22449,2025,1,3.09,0
22451,2025,1,3.68,11
22452,2025,1,3.44,9
22453,2025,1,3.81,19
22454,2025,1,3.42,20
22455,2025,1,3,0
22456,2025,1,2.28,0
22457,2025,1,3.03,9
22458,2025,1,3.12,3
22459,2025,1,3.17,0
22460,2025,1,3.56,11
22461,2025,1,3.59,17
22462,2025,1,3.18,0
22463,2025,1,3.68,21
22464,2025,1,3.26,12
22465,2025,1,3.34,9
22466,2025,1,3.05,0
22468,2025,1,3.23,0
22469,2025,1,3.6,19
22470,2025,1,3.85,17
22471,2025,1,3.12,0
22473,2025,1,3.02,0
22474,2025,1,3.36,9
22476,2025,1,3.39,20
22477,2025,1,3.38,12
22478,2025,1,3.44,9
22480,2025,1,3.11,3
22481,2025,1,3.11,3
22482,2025,1,3.3,20
22483,2025,1,3.42,10
22484,2025,1,3.11,0
22485,2025,1,3.75,20
22486,2025,1,3.27,3
22487,2025,1,3.68,21
22488,2025,1,3.55,16
22489,2025,1,3.64,17
22490,2025,1,3.48,12
22491,2025,1,3.08,3
22492,2025,1,3.66,0
22493,2025,1,3.06,3
22494,2025,1,3.42,10
22495,2025,1,3.03,0
22496,2025,1,3.13,0
22497,2025,1,3.52,12
22498,2025,1,3.66,13
22499,2025,1,3.12,0
22501,2025,1,3.59,20
22502,2025,1,3.62,14
22503,2025,1,3.18,3
22504,2025,1,3.65,13
22505,2025,1,3.59,15
22506,2025,1,2.74,0
22507,2025,1,3.44,10
22508,2025,1,3.09,3
22509,2025,1,3.46,11
22510,2025,1,3.03,0
22514,2025,1,3.45,21
22516,2025,1,2.87,0
22517,2025,1,3.07,0
22518,2025,1,3.05,0
22519,2025,1,3.41,11
22522,2025,1,3.43,19
22523,2025,1,3.31,12
22524,2025,1,3.12,0
22525,2025,1,3.19,0
22526,2025,1,3.51,13
22527,2025,1,3.01,0
22528,2025,1,3.48,20
22531,2025,1,3.16,10
22533,2025,1,3.37,0
22534,2025,1,3.49,9
22536,2025,1,3.07,0
22538,2025,1,3.65,11
22540,2025,1,3.21,18
22542,2025,1,3.03,0
22543,2025,1,3.47,20
22544,2025,1,3.59,19
22547,2025,1,3.19,3
22550,2025,1,3.21,14
22551,2025,1,3.44,11
22553,2025,1,3.03,0
22554,2025,1,3.42,12
22555,2025,1,3.41,12
22560,2025,1,3.59,14
22561,2025,1,3.72,17
22562,2025,1,3.43,0
22563,2025,1,3.76,20
22568,2025,1,3.24,0
22570,2025,1,3.48,11
22574,2025,1,3.68,16
22575,2025,1,3.19,0
22577,2025,1,3.34,20
22578,2025,1,3.51,12
22579,2025,1,3.01,0
22580,2025,1,3.07,3
22581,2025,1,3.4,12
22582,2025,1,3.46,20
22585,2025,1,3.48,20
22586,2025,1,3.3,9
22589,2025,1,3.35,20
22591,2025,1,2.91,0
22592,2025,1,3.38,20
22593,2025,1,3.23,0
22602,2025,1,3.7,17
22603,2025,1,3.17,3
22610,2025,1,3.29,0
22614,2025,1,3.55,20
22616,2025,1,3.38,12
22624,2025,1,3.18,0
22625,2025,1,3.74,20
22629,2025,1,2.87,0
22632,2025,1,3.42,18
22634,2025,1,3.73,21
22635,2025,1,3.51,10
22636,2025,1,3.16,0
22639,2025,1,2.77,0
22643,2025,1,3.06,0
22644,2025,1,3.3,0
22647,2025,1,3.35,16
22648,2025,1,3.31,16
22651,2025,1,2.82,0
22657,2025,1,3.29,0
22660,2025,1,3.57,20
22662,2025,1,3.2,0
22665,2025,1,3.39,18
22667,2025,1,3.3,9
22675,2025,1,2.91,0
22676,2025,1,3.29,14
22677,2025,1,3.56,11
22681,2025,1,3.59,19
22693,2025,1,3.12,0
22697,2025,1,2.57,4
