"MAHASISWA","TAHUN","SEMESTER","IPS"
28890,2025,1,3.15
28892,2025,1,3.37
28893,2025,1,3.58
28894,2025,1,3.15
28895,2025,1,3.53
28896,2025,1,3.3
28897,2025,1,3.54
28898,2025,1,3.21
28899,2025,1,3.65
28900,2025,1,3.18
28901,2025,1,2.84
28902,2025,1,3.19
28903,2025,1,2.7
28904,2025,1,1.43
28905,2025,1,3.34
28906,2025,1,3.34
28907,2025,1,3.46
28908,2025,1,3.24
28913,2025,1,3.64
28914,2025,1,3.44
28915,2025,1,0
28916,2025,1,3.17
28917,2025,1,3.5
28918,2025,1,3.88
28919,2025,1,3.7
28920,2025,1,3.48
28922,2025,1,3.28
28923,2025,1,3.26
28924,2025,1,2.86
28925,2025,1,2.65
28926,2025,1,3.43
28927,2025,1,3.65
28928,2025,1,2.43
28930,2025,1,3.38
28931,2025,1,3.47
28932,2025,1,1.81
28933,2025,1,2.76
28935,2025,1,3.36
28936,2025,1,3.46
28937,2025,1,3.15
28938,2025,1,3.58
28939,2025,1,3.62
28941,2025,1,2.95
28942,2025,1,3.72
28943,2025,1,2.96
28944,2025,1,3.33
28945,2025,1,3.54
28946,2025,1,3.5
28947,2025,1,3.26
28948,2025,1,3.58
28950,2025,1,3.29
28951,2025,1,3.19
28953,2025,1,3.42
28954,2025,1,3.45
28955,2025,1,3.47
28956,2025,1,3.31
28957,2025,1,3.08
28958,2025,1,3.06
28962,2025,1,3.55
28963,2025,1,3.44
28964,2025,1,3.06
28965,2025,1,2.79
28966,2025,1,3.14
28967,2025,1,2.55
28968,2025,1,3.39
28969,2025,1,3
28970,2025,1,3.5
28973,2025,1,3.63
28974,2025,1,3.14
28975,2025,1,2.84
28976,2025,1,2.73
28977,2025,1,3.28
28978,2025,1,3.58
28979,2025,1,2.83
28980,2025,1,2.94
28981,2025,1,3.67
28983,2025,1,3.42
28984,2025,1,2.86
28985,2025,1,3.2
28986,2025,1,3.22
28987,2025,1,3.19
28989,2025,1,3.48
28990,2025,1,3.38
28993,2025,1,3.28
28994,2025,1,2.48
28995,2025,1,3.23
28996,2025,1,2.76
28997,2025,1,3.58
28999,2025,1,3.55
29000,2025,1,2.85
29002,2025,1,3.01
29003,2025,1,3.22
29004,2025,1,3.33
29007,2025,1,3.15
29009,2025,1,3.28
29010,2025,1,3.78
29011,2025,1,2.98
29012,2025,1,2.82
29013,2025,1,2.28
29014,2025,1,3.13
29015,2025,1,3.23
29016,2025,1,2.94
29017,2025,1,2.97
29018,2025,1,3.56
29020,2025,1,3.28
29021,2025,1,3.08
29022,2025,1,2.86
29023,2025,1,3.58
29024,2025,1,2.83
29025,2025,1,3.5
29027,2025,1,3.33
29028,2025,1,2.64
29029,2025,1,3.53
29031,2025,1,3.46
29032,2025,1,3.5
29033,2025,1,3.2
29035,2025,1,3.4
29036,2025,1,3.38
29037,2025,1,3.65
29038,2025,1,3.39
29039,2025,1,2.9
29040,2025,1,3.18
29041,2025,1,3.22
