"MAHASISWA","TAHUN_MASUK","SEMESTER_MASUK","TAHUN_LULUS","SEMESTER_LULUS","LULUS_TEPAT_WAKTU"
15176,2017,1,2024,1,0
18065,2019,1,2022,2,1
18353,2019,1,2022,2,1
17308,2019,1,2022,2,1
17282,2019,1,2022,2,1
18358,2019,1,2022,2,1
18069,2019,1,2022,2,1
18073,2019,1,2022,2,1
18199,2019,1,2022,2,1
18204,2019,1,2022,2,1
17193,2019,1,2022,2,1
17372,2019,1,2022,2,1
17451,2019,1,2022,2,1
17459,2019,1,2022,2,1
18434,2019,1,2022,2,0
18213,2019,1,2022,2,1
18251,2019,1,2022,2,1
18253,2019,1,2022,2,1
18074,2019,1,2022,2,1
17483,2019,1,2022,2,1
17647,2019,1,2022,2,1
17650,2019,1,2022,2,1
17495,2019,1,2022,2,1
17336,2019,1,2022,2,1
17618,2019,1,2023,1,0
17630,2019,1,2022,2,1
17631,2019,1,2022,2,1
17492,2019,1,2022,2,1
17502,2019,1,2022,2,1
18367,2019,1,2022,2,1
17503,2019,1,2023,2,0
17705,2019,1,2022,2,1
17706,2019,1,2022,2,1
17417,2019,1,2022,2,1
18399,2019,1,2023,1,0
17607,2019,1,2022,2,1
17608,2019,1,2022,2,1
18272,2019,1,2022,2,1
17691,2019,1,2022,2,1
17694,2019,1,2022,2,1
17702,2019,1,2022,2,1
17717,2019,1,2022,2,1
17635,2019,1,2022,2,1
16676,2018,1,2022,2,0
17689,2019,1,2022,2,1
17192,2019,1,2022,2,1
17636,2019,1,2022,2,1
17672,2019,1,2022,2,1
17676,2019,1,2022,2,1
17612,2019,1,2022,2,1
17535,2019,1,2022,2,1
17205,2019,1,2024,2,0
17714,2019,1,2022,2,1
17716,2019,1,2022,2,1
17687,2019,1,2022,2,1
17620,2019,1,2022,2,1
17632,2019,1,2022,2,1
16864,2018,1,2022,2,0
17288,2019,1,2022,2,1
17289,2019,1,2022,2,1
17301,2019,1,2022,2,1
17709,2019,1,2023,1,0
17207,2019,1,2022,2,1
17344,2019,1,2022,2,1
17370,2019,1,2022,2,1
17395,2019,1,2022,2,1
17317,2019,1,2022,2,1
17378,2019,1,2022,2,1
17379,2019,1,2022,2,1
17419,2019,1,2022,2,1
17710,2019,1,2022,2,1
17187,2019,1,2022,2,1
17278,2019,1,2022,2,1
17280,2019,1,2022,2,1
17211,2019,1,2022,2,1
17254,2019,1,2022,2,1
17264,2019,1,2022,2,1
17383,2019,1,2022,2,1
17387,2019,1,2022,2,1
17391,2019,1,2022,2,1
17309,2019,1,2022,2,1
17318,2019,1,2022,2,1
17319,2019,1,2022,2,1
17322,2019,1,2022,2,1
17209,2019,1,2022,2,1
17320,2019,1,2022,2,1
17293,2019,1,2022,2,1
17388,2019,1,2022,2,1
17450,2019,1,2022,2,1
17505,2019,1,2022,2,1
17357,2019,1,2022,2,1
17363,2019,1,2022,2,1
17365,2019,1,2022,2,1
17472,2019,1,2022,2,1
17477,2019,1,2024,1,0
17498,2019,1,2022,2,1
17511,2019,1,2022,2,1
16062,2018,1,2023,1,0
17655,2019,1,2022,2,1
17531,2019,1,2022,2,1
17532,2019,1,2022,2,1
17533,2019,1,2022,2,0
17644,2019,1,2022,2,1
17660,2019,1,2022,2,1
17662,2019,1,2022,2,1
17663,2019,1,2022,2,1
17668,2019,1,2022,2,1
18279,2019,1,2022,2,1
16460,2018,1,2024,2,0
17627,2019,1,2023,2,0
17671,2019,1,2022,2,1
17673,2019,1,2023,1,0
17677,2019,1,2022,2,1
17683,2019,1,2022,2,1
17204,2019,1,2022,2,1
17212,2019,1,2022,2,1
17246,2019,1,2022,2,1
17333,2019,1,2022,2,1
17355,2019,1,2022,2,1
17356,2019,1,2022,2,1
17247,2019,1,2022,2,1
17250,2019,1,2022,2,1
17252,2019,1,2022,2,1
17342,2019,1,2022,2,1
17609,2019,1,2022,2,1
17622,2019,1,2024,1,0
17338,2019,1,2022,2,1
17343,2019,1,2022,2,1
18943,2020,1,2022,2,1
18951,2020,1,2023,2,1
18952,2020,1,2022,2,1
18954,2020,1,2023,2,1
19030,2020,1,2022,2,1
19031,2020,1,2023,2,1
19204,2020,1,2022,2,1
19209,2020,1,2022,2,1
19431,2020,1,2022,2,1
19432,2020,1,2023,2,1
19433,2020,1,2022,2,1
19437,2020,1,2022,2,1
19320,2020,1,2023,2,1
19321,2020,1,2023,2,1
19322,2020,1,2022,2,1
19323,2020,1,2022,2,1
19327,2020,1,2022,2,1
19060,2020,1,2023,2,1
19359,2020,1,2022,2,1
19360,2020,1,2022,2,1
19362,2020,1,2023,2,1
19368,2020,1,2023,2,1
19033,2020,1,2023,2,1
19037,2020,1,2023,2,1
18942,2020,1,2022,2,1
18968,2020,1,2023,2,1
19061,2020,1,2023,2,1
19062,2020,1,2022,2,1
19220,2020,1,2022,2,1
20309,2020,1,2022,2,1
19223,2020,1,2022,2,1
19224,2020,1,2023,2,1
19225,2020,1,2023,2,1
18837,2020,1,2023,2,1
19369,2020,1,2023,2,1
19370,2020,1,2023,2,1
19372,2020,1,2022,2,1
19067,2020,1,2022,2,1
19073,2020,1,2023,2,1
19074,2020,1,2023,2,1
19395,2020,1,2023,2,1
19227,2020,1,2023,2,1
19219,2020,1,2023,2,1
19226,2020,1,2023,2,1
19267,2020,1,2022,2,1
19269,2020,1,2023,2,1
19279,2020,1,2023,2,1
18849,2020,1,2023,2,1
18873,2020,1,2023,2,1
18877,2020,1,2023,2,1
18878,2020,1,2023,2,1
19396,2020,1,2023,2,1
19398,2020,1,2023,2,1
19400,2020,1,2023,2,1
18947,2020,1,2023,2,1
18953,2020,1,2022,2,1
18956,2020,1,2022,2,1
18958,2020,1,2023,2,1
19289,2020,1,2022,2,1
18970,2020,1,2023,2,1
18972,2020,1,2024,1,0
19418,2020,1,2023,2,1
19422,2020,1,2022,2,1
19425,2020,1,2023,2,1
18959,2020,1,2022,2,1
18962,2020,1,2023,2,1
18963,2020,1,2023,2,1
19039,2020,1,2023,2,1
19040,2020,1,2022,2,1
19042,2020,1,2023,2,1
19430,2020,1,2022,2,1
19084,2020,1,2022,2,1
19088,2020,1,2022,2,1
19089,2020,1,2022,2,1
19090,2020,1,2023,2,1
19329,2020,1,2023,2,0
19331,2020,1,2022,2,1
19332,2020,1,2023,2,1
19043,2020,1,2022,2,1
19044,2020,1,2023,2,1
19045,2020,1,2023,2,1
19048,2020,1,2023,1,0
19049,2020,1,2022,2,1
19423,2020,1,2022,2,1
18596,2019,1,2022,2,1
19094,2020,1,2022,2,1
19099,2020,1,2024,1,0
19101,2020,1,2023,2,1
18880,2020,1,2022,2,1
18887,2020,1,2022,2,1
18888,2020,1,2024,1,0
19154,2020,1,2023,2,1
19156,2020,1,2023,2,1
20553,2020,1,2022,2,1
19161,2020,1,2023,2,1
19401,2020,1,2023,2,1
19104,2020,1,2022,2,1
19107,2020,1,2023,2,1
18969,2020,1,2022,2,1
18975,2020,1,2022,2,1
18981,2020,1,2023,2,1
18996,2020,1,2022,2,1
19102,2020,1,2024,1,0
18893,2020,1,2022,2,1
18894,2020,1,2022,2,1
18965,2020,1,2023,2,1
18966,2020,1,2023,2,1
18994,2020,1,2022,2,1
18995,2020,1,2022,2,1
19293,2020,1,2023,2,1
19297,2020,1,2022,2,1
18835,2020,1,2023,2,1
18840,2020,1,2023,2,1
18846,2020,1,2023,2,1
18997,2020,1,2023,2,1
20542,2020,1,2022,2,1
19000,2020,1,2022,2,1
19003,2020,1,2023,2,1
19208,2020,1,2023,2,1
19443,2020,1,2023,2,1
19445,2020,1,2023,2,1
18847,2020,1,2022,2,1
18848,2020,1,2023,2,1
18851,2020,1,2023,2,1
19448,2020,1,2023,2,1
19450,2020,1,2023,2,1
19452,2020,1,2022,2,1
19229,2020,1,2024,1,0
19232,2020,1,2023,2,1
19002,2020,1,2022,2,1
19007,2020,1,2023,2,1
19009,2020,1,2022,2,1
19028,2020,1,2022,2,1
19034,2020,1,2022,2,1
19035,2020,1,2023,2,1
19373,2020,1,2022,2,1
19375,2020,1,2023,2,1
19378,2020,1,2023,2,1
19381,2020,1,2022,2,1
19234,2020,1,2023,2,1
19240,2020,1,2022,2,1
19270,2020,1,2022,2,1
19272,2020,1,2022,2,1
19245,2020,1,2023,2,1
19453,2020,1,2022,2,1
19455,2020,1,2023,2,1
19036,2020,1,2023,2,1
19108,2020,1,2023,2,1
19110,2020,1,2022,2,1
19112,2020,1,2023,2,1
19311,2020,1,2023,2,1
19312,2020,1,2023,2,1
19313,2020,1,2024,1,0
18899,2020,1,2023,2,1
18905,2020,1,2022,2,1
18906,2020,1,2022,2,1
18912,2020,1,2022,2,1
19462,2020,1,2022,2,1
19463,2020,1,2023,2,1
19464,2020,1,2022,2,1
19467,2020,1,2023,2,1
19470,2020,1,2022,2,1
19471,2020,1,2023,2,1
19472,2020,1,2023,2,1
19004,2020,1,2023,2,1
19315,2020,1,2022,2,1
19316,2020,1,2022,2,1
19317,2020,1,2023,2,1
19318,2020,1,2023,2,1
18858,2020,1,2023,2,1
18865,2020,1,2022,2,1
17958,2019,1,2022,2,1
18669,2019,1,2022,2,0
19082,2020,1,2022,2,1
19114,2020,1,2023,2,1
19117,2020,1,2022,2,1
19143,2020,1,2022,2,1
19150,2020,1,2022,2,1
19168,2020,1,2022,2,1
19473,2020,1,2023,2,1
18871,2020,1,2022,2,1
18874,2020,1,2023,2,1
18990,2020,1,2023,2,1
18992,2020,1,2022,2,1
19207,2020,1,2023,2,1
19335,2020,1,2022,2,1
19336,2020,1,2023,2,1
19350,2020,1,2023,2,1
19351,2020,1,2023,2,1
19353,2020,1,2023,2,1
19354,2020,1,2024,1,0
19475,2020,1,2023,2,1
19480,2020,1,2023,2,1
19487,2020,1,2024,1,0
19246,2020,1,2023,2,1
19010,2020,1,2023,2,1
19011,2020,1,2022,2,1
19018,2020,1,2023,2,1
19019,2020,1,2023,2,1
19020,2020,1,2022,2,1
19021,2020,1,2022,2,1
19029,2020,1,2022,2,1
19357,2020,1,2022,2,1
19382,2020,1,2023,2,1
19389,2020,1,2023,2,1
19391,2020,1,2023,2,1
19393,2020,1,2023,2,1
19249,2020,1,2023,2,1
19254,2020,1,2023,2,0
19256,2020,1,2022,2,1
19258,2020,1,2023,2,1
19488,2020,1,2023,2,1
19122,2020,1,2023,2,1
19123,2020,1,2022,2,1
19132,2020,1,2023,2,1
19148,2020,1,2023,1,0
19151,2020,1,2022,2,1
19201,2020,1,2022,2,1
18916,2020,1,2023,2,1
18918,2020,1,2023,2,1
18924,2020,1,2023,2,1
18927,2020,1,2022,2,1
18928,2020,1,2023,2,1
18934,2020,1,2023,2,1
18940,2020,1,2022,2,1
19489,2020,1,2023,2,1
19491,2020,1,2023,2,1
19493,2020,1,2023,2,1
19496,2020,1,2023,2,1
19497,2020,1,2023,2,1
17970,2019,1,2024,1,0
17971,2019,1,2022,2,1
17728,2019,1,2022,2,1
18218,2019,1,2022,2,1
18220,2019,1,2022,2,1
18079,2019,1,2022,2,1
18145,2019,1,2022,2,1
18068,2019,1,2022,2,1
18140,2019,1,2022,2,1
18141,2019,1,2022,2,1
18186,2019,1,2022,2,1
18112,2019,1,2022,2,1
18143,2019,1,2022,2,1
17806,2019,1,2022,2,1
17816,2019,1,2022,2,1
18147,2019,1,2022,2,1
18155,2019,1,2024,2,0
