"MAHASISWA","RATA_NILAI"
17280,90
17835,89
18175,90.5
17288,88
17647,91
17677,94
17723,89
18353,90
17252,80
17786,86
18147,87
17717,90
17866,87
17871,86
17964,86
18362,86
17623,89
17958,91
18207,89
18261,87
17498,88
17854,86
17691,90
18136,89
18174,89
17653,88
18100,86
18014,80
18095,87
18577,89
17192,87
17975,76
18130,89
19770,96
19011,86
20454,90
19256,86
20248,94
19536,86
19442,88
20285,89
17495,87
18936,79
19709,79
19028,93
17317,91
20128,87
19464,91
18956,90
18969,86
19639,88
19923,87
20554,80
17981,86
19280,87
19652,66
19519,88
19251,91
18971,87
17774,89
19148,76
18996,89
18143,76
18065,79
17692,87
19240,76
19329,89
19172,91
19599,87
19049,93
19937,90
19270,89
19728,89
18115,90
19603,76
18254,80
18186,88
20541,89
17308,86
17282,95
17832,90
20534,96
20308,91
19945,86
19165,77
20300,96
17837,87
20291,79
19234,90
19935,92
19003,87
19161,90
18962,79
20194,91
19642,88
19395,80
19488,87
19455,89
19004,86
18951,95
19724,87
18911,97
19834,88
20312,86
20368,89
20561,88
20173,79
19857,86
19036,86
19841,88
20177,96
19837,87
20214,68
18963,89
19252,67
19038,88
19219,86
20347,89
19107,89
19114,77
20397,89
20573,87
19880,89
18965,90
20287,86
19019,79
21502,77
19382,89
21274,76
19394,90
18167,86
19636,90
20176,89
21395,87
20982,88
20938,91
20839,87
20703,90
21606,90
21032,88
21031,80
21200,67
21727,88
20997,90
21712,87
20315,86
21343,90
21587,80
21680,78
21362,89
21621,89
21167,89
21463,90
21745,90
21045,90
21477,95
21604,78
21023,87
20940,78
21196,79
21129,79
19293,89
20948,70
25012,80
24986,90
24914,80
24994,90
25041,90
24976,90
24904,90
25043,45
18891,90
18669,86
16864,88
20121,88
19108,89
19056,88
21202,93
21549,86
21369,79
19496,90
19018,89
20951,90
20802,86
21012,87
21583,88
20737,91
19065,77
21637,77
21577,86
21521,88
20775,90
20813,90
21030,89
21050,88
21272,76
21198,80
20942,86
20690,90
20721,89
21015,87
21209,90
21088,89
21660,74
21014,89
21010,80
21698,77
21142,80
21046,88
20949,88
20946,90
19479,77
21397,93
21441,90
20798,89
21523,93
21483,87
21256,81
21268,92
20958,87
20727,87
21026,89
21135,87
21436,88
20754,91
20816,87
21076,86
16685,88
27094,90
27082,80
26992,80
26976,90
27051,90
27002,90
27096,80
27044,90
27072,90
27009,90
26981,90
27077,90
24434,
22847,85
23157,94
22796,80
22161,79
24448,
24642,
24238,74
22508,81
22474,90
22657,76
22871,83
22454,94
23535,
22162,74
20909,86
22558,89
20765,82
22485,93
22158,90
22703,87
22854,95
22443,92
22596,94
22872,89
20879,89
20767,88
19658,0
23220,86
23027,87
21558,80
22575,91
22792,81
22299,90
22255,88
22205,80
23029,80
21800,90
21038,87
22041,94
22499,92
22063,91
20985,87
22471,89
22803,86
21482,82
22620,81
22401,91
22432,88
22462,87
22450,83
22733,76
23697,
23837,
27173,85
27156,81
23033,82
22801,82
22962,86
20724,89
23017,92
22237,83
21690,78
23076,89
22502,92
22400,81
22949,94
22835,94
22848,72
22265,85
22595,87
21061,90
22788,86
22025,80
22098,88
21270,79
21204,86
22966,86
22270,91
21054,88
24196,
22196,84
22836,84
21702,77
22875,82
22660,86
21825,76
20713,94
22543,88
22157,87
23014,89
21597,87
22227,91
21904,94
22199,81
20821,70
22594,82
22065,73
23082,78
24460,
21086,80
23021,81
22574,94
21127,84
23059,93
22623,82
22427,92
21412,90
22444,90
22385,83
24432,80
21665,69
22093,82
22697,53
22195,77
21187,70
20857,86
22464,80
22604,80
23755,
23810,
22267,81
22749,86
21473,90
22865,83
22111,86
22940,83
24217,83
22496,92
22956,84
22761,76
22791,79
22120,85
22394,86
22073,89
23525,84
24493,
22219,81
24180,
22396,92
24456,
24725,
24757,
22110,89
24589,
22166,86
22042,86
22807,89
22229,92
23685,
24718,88
29297,90
29276,90
29233,90
29220,90
29212,85
23634,
29186,85
29285,90
29293,90
29289,80
24726,93
24182,
24686,
23693,
24585,
24691,85
24665,84
24580,
23875,
24410,84
24546,
23784,
24315,75
23821,
23760,
24220,
24658,88
22459,83
22168,89
24355,
24001,
24661,
24811,80
24189,
24372,
24093,
24689,
23742,
17254,89.5
17511,87
18198,88
17828,92.5
18159,89.5
17451,88
17625,76
17942,87
18028,77
17720,79
17204,89
18403,89
17890,80
18419,89
18107,89
17622,90
17947,76
17966,88
17737,92
17635,79
18152,87
17963,78
18061,87
17645,86
17757,80
20321,88
19538,88
19577,87
19621,21
19854,92
19844,88
20145,88
19675,94
19560,90
17788,88
19580,86
20252,94
19433,95
19934,91
17631,89
19677,88
19975,95
19453,92
19586,86
19941,90
18943,90
19559,87
19201,88
20579,80
17972,88
18177,89
18952,80
20286,78
19614,87
18957,86
17372,86
19926,95
19315,86
18106,86
19199,90
19548,90
20159,94
17943,87
20187,76
19008,86
19322,93
19618,70
17632,88
19597,87
19823,86
18193,80
19452,89
20241,87
19316,90
19725,88
19089,89
20271,88
19381,88
19427,79
19697,87
20329,87
20345,89
19033,89
19820,78
20501,90
19615,87
19833,86
19318,89
19573,94
18872,91
19410,68
19467,78
18981,90
20230,93
19398,69
20570,68
19246,80
19350,78
18846,76
19037,90
19119,66
19068,90
19397,76
19044,80
19555,90
19080,66
18835,80
18888,89
19227,89
19866,89
20316,90
20519,80
20327,80
20130,87
19703,86
19471,78
19670,86
20335,90
19355,88
19061,90
19202,79
20837,89
20675,92
19925,77
21192,89
20822,79
21423,89
21365,87
21676,91
21159,88
20931,90
21178,87
21567,77
20165,90
21635,86
21128,88
20301,91
20689,76
21486,90
21538,79
20878,89
21591,90
20771,90
20768,86
19446,90
20936,88
21550,87
19400,87
19601,77
20927,87
21642,88
24977,90
24942,90
25002,90
24932,90
25011,90
24947,80
24975,80
21001,86
21692,90
24962,90
24959,90
24920,90
25032,90
24946,90
24903,80
19077,78
21399,92
19541,91
19055,66
24911,70
21626,88
20325,89
20181,86
21753,80
20322,76
21037,89
20680,91
20807,95
21748,86
21049,86
20683,89
21113,86
20693,86
21654,90
21028,89
20720,89
21013,89
21063,92
20974,90
21511,87
21507,90
21766,87
20766,92
21193,80
21130,89
20788,87
21107,90
20795,87
21096,78
20688,93
21574,87
21020,79
21131,76
21628,86
20817,90
21093,91
21440,96
20776,87
20746,91
20774,80
27004,90
27032,90
27048,90
27088,90
27038,80
27025,90
27109,90
27055,90
27123,80
27074,90
27066,80
27013,90
27027,90
22663,86
22710,79
22275,85
23797,
23866,95
22794,76
22246,82
24017,89
22979,92
22652,87
21164,87
23016,91
22659,78
23043,84
20971,85
22007,90
22759,95
22378,89
23622,
23087,84
22188,89
22755,85
22858,83
22704,79
22480,88
22418,91
22119,89
20784,90
21799,86
22295,82
22780,89
22964,91
23116,
22593,87
22448,80
22694,89
22438,81
20769,89
24111,
23066,87
22592,88
22407,92
22439,93
22492,89
21693,86
24338,92
27147,70
24218,
27176,81
27160,81
27148,81
22887,82
22822,92
22764,81
21555,86
22477,87
22397,90
22687,90
22994,86
22048,84
22845,91
21078,91
22942,93
22724,86
16460,87
22616,89
22612,94
22262,89
22973,90
23772,91
22285,85
22036,84
21173,91
22180,92
22971,93
22645,86
22008,93
22425,82
21464,89
22114,93
21405,88
21787,77
21570,89
22728,90
21798,87
22226,85
22264,81
23013,77
22139,91
22478,90
22925,83
15176,92
22933,80
21479,84
22043,93
20873,86
21785,80
22274,92
22148,88
22665,92
22269,82
22386,85
22563,90
22984,82
24140,
22614,93
21134,90
23141,81
23074,87
24939,87
21005,79
22715,87
22615,86
20714,91
22117,83
21419,88
22447,82
21601,88
22179,
22666,84
22374,89
22473,93
22935,83
22234,81
23966,
22261,88
22990,88
22006,90
22812,86
22247,82
23955,
22115,83
22684,91
22577,86
21658,84
20893,89
22126,81
22730,88
24056,
22918,97
24053,
22578,86
22298,48
24416,
23062,91
22190,95
20800,92
22700,88
22582,86
