"MAHASISWA","RATA_NILAI"
18353,81.33
17288,87.33
17723,84
17677,84.33
17647,84
17691,80
18174,87
18136,59.25
18175,88.67
17280,82
17835,89.67
18186,88.67
17981,89.33
21925,87.33
21927,79.67
21932,87.33
17282,87.67
17832,89.33
17692,87
18065,84.33
18115,88.33
21829,87.67
21941,87.33
21951,89.67
21984,87.33
21967,90
21980,89
21957,88.67
21970,89
18577,87.33
17192,89.67
18130,87.33
18095,76.67
17975,85
18143,88.33
17668,86.67
18362,81
18207,88.33
17958,83.33
17623,59
17871,88.33
18261,87
17964,84.33
17774,88
17495,88.67
17717,88
17866,87.33
21922,88
17252,88
17786,87.33
18147,88.33
17854,85
17498,88.67
21933,82
21853,87.33
21863,84.67
21867,85.33
21935,87.67
21955,86.67
21991,83.33
19639,88.5
18167,85
17653,87
18014,87.67
18100,88
19770,87.5
19519,86.5
18969,89.5
19256,86.5
19536,89.5
20454,89.5
17317,86.33
19011,79.5
19442,87
20248,90
19923,83
17308,90
20128,88.5
20285,88.5
17837,88.67
19945,88
19709,28.67
19280,84.5
19464,92
19240,78
18971,39
19028,89.5
18956,87.5
20554,78.5
20300,82.5
17870,86.33
19603,78.5
19842,88
19270,83.5
19728,88
18936,39.5
19652,79.5
19165,89
19937,87.5
19148,75
19172,87.5
20254,84.67
23160,85
19599,81.5
18299,60.75
18996,78
18318,32.14
18321,60.25
19049,89
18338,27.33
18336,85
18294,12.57
18312,9.88
18254,87
23119,84
20534,87.5
20541,84.5
20291,88
20997,88.5
21362,89
19293,88.33
19382,90.33
18891,86
21727,85
21463,85
23344,89.33
21200,88
19065,80.67
23252,89.33
21167,88.5
23253,83
23313,88
23339,39.31
23249,89
19251,89.5
23304,88.67
21604,78.5
21187,89.5
20982,87
19234,89
21031,83
18911,87
19329,41.5
19161,87.33
21395,79.5
19935,82.67
20177,88.33
18951,89
19395,84
19642,79
20194,85.33
20839,82.5
19455,87.67
20561,84.67
21202,88.5
19724,89.33
20940,84.5
21680,86
21606,80
20368,87
20312,85.33
19834,88.33
20121,57.85
20173,85.67
21745,41.68
21032,89
19114,86.67
18965,88
19003,84.33
21343,84
19841,82
19219,88.67
19837,87
18963,84
19019,87.67
19252,89
21045,89.5
21129,83.5
20397,84
19880,89
19496,88.33
19038,30
20347,82.67
19107,87.33
21621,50.1
21477,88.5
21274,88.5
21502,26.67
19004,87.67
19636,89.33
20948,88.5
21712,86.5
21549,25.33
20938,87.5
20573,89
20703,82.5
19857,78
21023,86.5
19036,84
20737,90
21121,87.5
16864,86.67
20315,87.33
19394,62.96
20176,86.67
19018,88.33
21587,84.5
19108,87.67
20308,84.67
19056,78.33
18962,78.67
20287,84.33
19488,88.67
24986,0
24914,84.26
24994,63.33
24904,80.94
25012,59.89
21196,26.67
20214,25
18669,77.5
21637,89
21369,74.5
25043,43
22093,86.45
21521,83.64
21054,80.6
22196,87.87
22595,78.35
21012,81.51
21583,84.55
21127,85.28
22237,86.68
24976,55.64
21015,29
23017,83.15
22836,86.5
