"MAHASISWA","RATA_NILAI"
19036,79.74
19003,83.23
19658,79.92
19880,85.19
19837,84.54
20176,86.44
18963,83.89
20397,82.91
18965,83.48
19107,85.96
19394,79.23
20573,79.54
20287,80.54
20308,79.42
19496,84.57
19114,80.96
21031,77.92
18362,78.03
17623,80.57
17958,77.97
18207,84.05
17871,80.68
17964,80.11
18261,78.4
21604,78.96
21200,78.58
21637,77.58
21187,85.08
19280,83.13
19770,85.61
20248,83.7
18936,78.76
19165,79.76
20534,83.62
20300,82.38
19652,76.86
20554,75.57
19945,82.09
19256,81.48
19536,82.83
19251,75.13
19442,86.48
21129,84.58
20948,75.75
19065,74.92
17677,78.53
17730,80.47
17723,82.88
17647,81.84
18353,74.81
17288,82.75
21369,77.38
20737,83.04
20285,80.52
19011,83
21127,81.29
20194,80.03
21904,80.93
20577,71.75
21441,82.89
21397,85.68
21577,77.52
21698,78.09
17835,77.28
21482,79.5
20857,75.89
20765,79.46
19488,82.79
21412,84.74
21558,82.69
21598,83.61
21811,74.97
21825,73.66
17981,78.3
18186,79.74
19293,75.4
20315,77.4
19382,81.12
18175,83.06
17280,81.94
17774,79.6
17495,78.9
21209,81.82
21614,84.11
21088,82
21583,81.32
21050,82.79
20958,80.79
21012,82.64
21010,87.19
21270,78.82
20949,82.49
20775,85.13
20877,47.75
18136,76.74
18163,77.36
18174,77.4
18266,65.55
17854,76.4
17691,77.29
17498,77.41
19329,78.18
19857,78.16
20121,75.97
19108,78.73
19056,78.5
19709,76.18
19599,76.82
19172,77.04
18312,71
18318,77.43
18321,76.41
18336,78.55
18338,75.16
21054,76.75
20802,80.13
20716,74.46
18962,77.19
19019,78.41
19240,75.14
18996,77.61
18299,80.09
20290,71.17
18294,74.55
21521,75.99
21549,72.85
20839,77.55
18891,79.21
19004,77.3
21932,79.42
21925,79.75
21933,79.92
21927,80.25
19937,76.05
18956,80.81
20291,77.36
20909,72.85
20721,78.52
21086,78.59
21061,82.03
18969,79.7
19464,80
17786,78.55
18147,79.09
17252,75.97
21343,80.36
21198,82.1
20173,77.1
19234,81.77
19455,79.17
19834,79.66
17810,78.25
17717,78.09
17866,77.79
21712,78.77
21727,81.59
21023,80.78
21030,81.97
20724,81.83
20736,80
21046,78.65
21272,80.35
20997,82.64
21621,73.93
18911,80.98
19252,75.25
19395,79.02
19935,79.85
20177,82.95
20561,75.56
20454,77.22
20816,74.97
21268,81.89
21597,78.92
19049,77.77
19148,70.84
19334,54.93
19519,77.19
19728,79.61
21362,82.41
20813,77
21014,74.03
21026,76.47
21076,77.93
21142,69.49
21167,82.68
21967,81.29
21980,83.71
21957,83.57
21970,79.29
21045,80.5
18951,79.64
19724,77.44
20982,78.15
21587,75.85
20214,74.13
20368,78.83
21829,81.14
21941,82.11
21951,79.11
21984,81.22
20938,80.07
21202,79.74
21606,79.38
21680,75.52
16864,76.1
20767,84.72
21505,65.81
18065,74.07
17692,77.88
18115,80.4
20942,82
17653,85.34
18100,83.86
18014,81.25
21015,68
18167,81.97
18143,79.44
17192,86.93
18095,74.75
18130,81.64
17975,76.64
18577,81.04
21483,82.43
20713,87.4
17870,77
17308,79.58
21659,50.63
17837,83.87
17317,77.61
21800,78.02
20946,80.32
21038,79.86
20821,81.22
17668,78.43
17832,78.64
17282,79.2
21660,83.31
18254,73.8
17862,77.07
20690,80.41
20798,81.45
20879,81.7
20951,81.85
20985,82.83
21135,86.04
19018,84.47
19636,81.91
19841,78.53
19161,84.81
20347,81.44
19642,80.72
19038,75
19219,80.1
20312,80.28
21436,81.08
21473,85.07
21523,85.41
20754,81.56
21256,80.59
21665,79.46
20727,81.02
21702,78.04
21204,84.18
21694,77.67
21745,78.11
19028,79.37
19678,77.25
21121,85.64
19923,84
19639,84.29
19603,78.94
18971,68.41
21853,80.31
21863,82.69
21867,82.08
20541,70.29
19270,82
19842,75.83
19255,59.38
20372,62.5
21935,83.25
21955,78.25
21991,76.75
21477,83.25
20128,78.12
21196,69
21274,70.62
21502,66.48
21463,84.1
21395,81.15
21032,79.5
20703,77.4
22299,83.6
22219,82.63
20940,80.15
20146,74.5
22485,84
22265,78.74
22063,83.68
22025,60.86
22875,78.07
22041,79.14
22443,83.23
22120,77.49
22962,79.44
22227,82.34
23033,77.74
22098,86.18
22508,79.19
22162,67.57
22604,81
22471,83.95
22462,85.17
22697,70.45
22940,81.1
22152,76.1
22111,79.41
22158,81.53
22166,77.89
22401,76.77
22093,83.74
22444,79.11
23076,76.91
22749,79.18
22042,79.74
22824,0
22450,79.28
22065,74.42
22803,84.67
22229,84.97
22168,79.09
22575,84.82
22949,83
23017,79.61
23014,75.32
22396,80.42
22432,82.37
22475,75.75
22620,82.23
22558,76.96
22459,76.53
22502,81.77
22205,45.19
22761,79.96
22902,87.68
22596,79.95
22400,78.77
22872,84.71
23029,76.58
22939,31.23
22110,83.63
22496,84.32
22196,85.13
22270,80.18
22836,74.41
23059,78.84
22543,80.63
22801,82.73
23082,69.79
22195,77.9
22623,77.33
22743,45.4
22464,75.83
23027,77.56
22255,81.56
22427,78.13
22865,80.95
22660,79.99
22574,84.05
22594,79.36
23072,61
22737,73.91
22073,79.48
22595,78.75
22847,80.6
22499,82.7
22454,78.5
22871,77.38
22835,83.45
22848,66.31
22788,76.05
22157,81.67
22703,81.79
22394,78.97
22541,78
22161,83.25
22791,67.94
22657,81.16
23160,81.73
22530,0
22956,83.24
22854,81.43
22474,82.83
21701,31.5
23038,75.82
19479,73.05
22199,73.95
22237,86.58
20254,78.46
