"MAHASISWA","TAHUN","SEMESTER","RATA_NILAI"
17370,2021,2,87
17511,2021,2,86
17835,2021,2,89
17242,2021,2,94
18259,2021,2,91
17905,2021,2,88
18062,2021,2,87
17612,2021,2,87
18223,2021,2,90
17672,2021,2,92
18263,2021,2,89
17363,2021,2,87
17623,2021,2,89
17312,2021,2,90
17907,2021,2,86
17948,2021,2,89
17622,2021,2,90
18230,2021,2,89
17266,2021,2,90
17906,2021,2,79
17239,2021,2,70
18095,2021,2,87
18066,2021,2,78
17248,2021,2,86
18181,2021,2,86
17655,2021,2,89
19538,2022,1,88
19020,2022,1,88
19943,2022,1,87
20389,2022,1,90
17915,2022,1,90
19535,2022,1,88
19536,2022,1,86
20148,2022,1,86
20229,2022,1,90
19327,2022,1,90
18189,2022,1,88
18145,2022,1,87
18098,2022,1,88
19507,2022,1,90
20331,2022,1,92
19938,2022,1,88
19453,2022,1,92
20386,2022,1,89
20417,2022,1,91
20297,2022,1,89
19734,2022,1,91
18969,2022,1,86
17531,2022,1,89
20554,2022,1,80
20557,2022,1,89
18587,2022,1,86
19958,2022,1,86
19836,2022,1,90
20581,2022,1,78
18002,2022,1,93
19360,2022,1,80
18353,2022,1,88
19668,2022,1,88
19148,2022,1,76
19530,2022,1,86
17242,2022,1,89
17313,2022,1,91
17372,2021,2,86
17816,2021,2,90
17450,2022,1,86
19315,2022,1,86
18905,2022,1,78
19049,2022,1,93
19690,2022,1,86
19728,2022,1,89
19267,2022,1,77
17380,2021,2,90
17632,2021,2,88
17716,2021,2,93
17818,2021,2,86
18093,2021,2,86
18225,2021,2,93
18252,2021,2,90
17293,2022,1,97
19940,2022,1,87
20534,2022,1,96
20192,2022,2,88
19279,2022,2,91
20550,2022,1,87
17492,2022,1,86
19723,2022,1,92
19726,2022,1,80
19317,2022,2,90
19335,2022,1,80
19697,2022,2,87
19033,2022,2,89
19241,2022,2,70
19291,2022,2,90
20313,2022,2,86
19441,2022,2,93
20367,2022,2,92
19392,2022,2,94
19514,2022,2,86
20334,2022,2,90
18981,2022,2,90
20561,2022,2,88
