"MAHASISWA","TAHUN","SEMESTER","RATA_NILAI"
18259,2021,2,87
17242,2021,2,86
17622,2021,2,80
18230,2021,2,79
17370,2021,2,86
17835,2021,2,89
17511,2021,2,86
18144,2021,2,89
17380,2021,2,86
17632,2021,2,87
17716,2021,2,90
17818,2021,2,87
18093,2021,2,86
18225,2021,2,86
18252,2021,2,89
17372,2021,2,90
17816,2021,2,87
21829,2021,2,86
21858,2021,2,86
21880,2021,2,80
21963,2021,2,90
21981,2021,2,88
21969,2021,2,86
21977,2021,2,90
21966,2021,2,90
21974,2021,2,86
17655,2021,2,88
17503,2021,2,79
18066,2021,2,89
18095,2021,2,86
17248,2021,2,88
18181,2021,2,90
17668,2021,2,86
17623,2021,2,87
17363,2021,2,88
18263,2021,2,90
17672,2021,2,86
17608,2021,2,90
18216,2021,2,89
18204,2021,2,91
21950,2021,1,86
21984,2021,1,89
17612,2021,2,89
18062,2021,2,88
18223,2021,2,88
21973,2021,1,98
21872,2021,1,91
21961,2021,1,90
21986,2021,1,87
21829,2021,1,90
21878,2021,1,88
21922,2021,1,88
21921,2021,1,88
17905,2021,2,89
17312,2021,2,80
17907,2021,2,88
17266,2021,2,88
17948,2021,2,86
21866,2021,2,89
21959,2021,2,78
21927,2021,2,79
21926,2021,2,86
21990,2021,1,87
21879,2021,1,87
21920,2021,1,88
21937,2021,1,90
21864,2021,2,89
21879,2021,2,88
21914,2021,2,88
21992,2021,2,86
19958,2022,1,80
17239,2021,2,87
17906,2021,2,87
17741,2022,1,90
18188,2022,1,86
19020,2022,1,88
19535,2022,1,90
17816,2022,1,87
17313,2022,1,89
17531,2022,1,89
18969,2022,1,90
19335,2022,1,88
19536,2022,1,89
19690,2022,1,89
17472,2022,1,89
18147,2022,1,88
20624,2022,1,0
17644,2022,1,89
19943,2022,1,89
19726,2022,1,92
19723,2022,1,88
17625,2022,1,77
18100,2022,1,87
17248,2022,1,87
17830,2022,1,88
17306,2022,1,86
17653,2022,1,87
20417,2022,1,88
18062,2022,1,87
20297,2022,1,89
19668,2022,1,89
20550,2022,1,89
20229,2022,1,88
20148,2022,1,89
19315,2022,1,76
19327,2022,1,76
17264,2022,1,90
17944,2022,1,0
17773,2022,1,89
17342,2022,1,90
20331,2022,1,86
18002,2022,1,90
20386,2022,1,86
19836,2022,1,90
18189,2022,1,87
18145,2022,1,88
21858,2022,1,89
17645,2022,1,78
19940,2022,1,87
21955,2022,1,86
18098,2022,1,77
19938,2022,1,88
19453,2022,1,89
19507,2022,1,87
19734,2022,1,93
20557,2022,1,80
20389,2022,1,86
23154,2022,1,80
20554,2022,1,79
17532,2022,1,86
18587,2022,1,87
18236,2022,1,90
23191,2022,1,90
19842,2022,1,89
19728,2022,1,89
20581,2022,1,77
17971,2022,1,79
17370,2022,1,88
21971,2022,1,87
21977,2022,1,88
18353,2022,1,79
17492,2022,1,88
19360,2022,1,80
18202,2022,1,0
19148,2022,1,80
21933,2022,1,78
16460,2022,1,35
17641,2022,1,78
21949,2022,1,78
19530,2022,1,88
17187,2022,1,90
17363,2022,1,89
18191,2022,1,89
18905,2022,1,86
17450,2022,1,89
23136,2022,1,80
18081,2022,1,88
21992,2022,1,87
18307,2022,1,78
17266,2022,1,80
21914,2022,1,86
19049,2022,1,88
18091,2022,1,88
21868,2022,1,86
23133,2022,1,89
18312,2022,1,0
19267,2022,1,87
19117,2022,1,87
18254,2022,1,86
17663,2022,1,86
17868,2022,1,86
20534,2022,1,88
23089,2022,1,87
19438,2022,2,87
19317,2022,2,88
20997,2022,2,88
21362,2022,2,89
21103,2022,2,89
19099,2022,2,80
19598,2022,2,86
19881,2022,2,87
21423,2022,2,87
18169,2022,2,70
21463,2022,2,90
19588,2022,2,89
19975,2022,2,87
17769,2022,2,88
21475,2022,2,86
20402,2022,2,88
18118,2022,2,87
21943,2022,1,87
17242,2022,1,78
18847,2022,2,89
19065,2022,2,78
17806,2022,2,89
23204,2022,2,78
18181,2022,1,90
23252,2022,1,90
23257,2022,1,91
23277,2022,1,90
17293,2022,1,78
23284,2022,1,86
23320,2022,1,89
21953,2021,1,87
21970,2021,1,92
23336,2022,1,88
23249,2022,1,90
23259,2022,1,79
23310,2022,1,80
23247,2022,1,89
23262,2022,1,90
23294,2022,1,89
23345,2022,1,80
21051,2022,2,90
17964,2022,1,86
23346,2022,1,90
18200,2022,2,91
17915,2022,1,91
20912,2022,2,90
17364,2022,1,89
17728,2022,1,91
17737,2022,1,86
18215,2022,1,90
21605,2022,2,90
21154,2022,2,90
18225,2022,2,87
17472,2022,2,89
18256,2022,2,90
17187,2022,2,88
19827,2022,2,86
18218,2022,2,89
20132,2022,2,87
19415,2022,2,88
20163,2022,2,78
21760,2022,2,86
19433,2022,2,90
23273,2022,2,87
18272,2022,2,86
20551,2022,2,88
23133,2022,2,88
21695,2022,2,86
17641,2022,2,86
23275,2022,2,87
20454,2022,2,89
20983,2022,2,87
20177,2022,2,89
21617,2022,2,86
20313,2022,2,90
20276,2022,2,86
19677,2022,2,86
18942,2022,2,88
23321,2022,2,86
23276,2022,2,86
19357,2022,2,86
21368,2022,2,90
18399,2022,2,0
20561,2022,2,89
19698,2022,2,86
17289,2022,2,89
19033,2022,2,89
18260,2022,2,86
20349,2022,2,80
19041,2022,2,86
19959,2022,2,89
16676,2022,2,77
19697,2022,2,77
19752,2022,2,90
19392,2022,2,86
21603,2022,2,79
19441,2022,2,86
21647,2022,2,89
23264,2022,2,88
20930,2022,2,87
20367,2022,2,78
20768,2022,2,87
17828,2022,2,86
20164,2022,2,86
19514,2022,2,0
19688,2022,2,0
19021,2022,2,86
19538,2022,1,88
18145,2022,2,88
18106,2022,2,89
19803,2022,2,90
18997,2022,2,90
18100,2022,2,89
19481,2022,2,86
21509,2022,2,88
23282,2022,2,86
23128,2022,2,90
17847,2022,2,86
18012,2022,2,89
18006,2022,2,86
17857,2022,2,87
21719,2022,2,89
19909,2022,2,80
18315,2022,2,0
21643,2022,2,80
17370,2022,2,89
17395,2022,2,90
17375,2022,2,0
21642,2022,2,86
18167,2022,2,89
18313,2022,2,0
18327,2022,2,79
20275,2022,2,76
17533,2022,2,86
20790,2022,2,89
18348,2022,2,0
20968,2022,2,88
19165,2022,2,88
19596,2022,2,79
23125,2022,2,76
21266,2022,2,80
17208,2022,2,86
21433,2022,2,79
21217,2022,2,90
21538,2022,2,78
17958,2022,2,80
23343,2022,2,0
17676,2022,2,86
19840,2022,2,90
21675,2022,2,86
20292,2022,2,77
19156,2022,2,89
20381,2022,2,0
19323,2022,2,87
19372,2022,2,88
18273,2022,2,88
18975,2022,2,88
19522,2022,2,90
19866,2022,2,86
20568,2022,2,87
17871,2022,2,88
19733,2022,2,0
19450,2022,2,90
18028,2022,2,89
23350,2022,2,88
19933,2022,2,89
18263,2022,2,88
19489,2022,2,88
20573,2022,2,90
20703,2022,2,87
19061,2022,2,90
20771,2022,2,88
17907,2022,2,79
21067,2022,2,86
20334,2022,2,90
19632,2022,2,87
18899,2022,2,90
18002,2022,2,76
20515,2022,2,86
17254,2022,2,89
18205,2022,2,88
17710,2022,2,89
18168,2022,2,87
18338,2021,2,86
17301,2022,2,87
17247,2022,2,90
17306,2022,2,87
18147,2022,2,86
18142,2022,2,90
18837,2023,1,87
17825,2022,2,90
20302,2022,2,0
19310,2022,2,87
19225,2023,1,89
23270,2023,1,89
18262,2022,2,77
19947,2022,2,89
20990,2022,2,80
18308,2022,2,0
17709,2022,2,76
20243,2022,2,90
18105,2022,1,78
17204,2022,2,78
19123,2022,2,88
20192,2022,2,86
18992,2022,2,87
19018,2022,2,90
19463,2022,2,88
17532,2022,2,77
16233,2022,2,0
19836,2022,2,86
19624,2022,2,89
20181,2022,2,88
18318,2022,2,0
18958,2022,2,88
19375,2023,1,90
19693,2023,1,87
20368,2023,1,86
23302,2023,1,90
19033,2023,1,88
20367,2023,1,86
18967,2023,1,86
20289,2023,1,86
23292,2023,1,93
19662,2023,1,87
19241,2022,2,89
19615,2023,1,0
19473,2023,1,78
20192,2023,1,80
23282,2023,1,90
19232,2023,1,86
20363,2023,1,76
21557,2022,2,77
18981,2022,2,78
18861,2023,1,88
20212,2023,1,78
20361,2023,1,69
18878,2023,1,76
19882,2023,1,77
19670,2023,1,87
19044,2023,1,88
19491,2023,1,89
19056,2023,1,80
19079,2023,1,70
19858,2022,2,76
20340,2023,1,88
19647,2023,1,78
23287,2023,1,80
23318,2023,1,86
23345,2023,1,87
19489,2023,1,79
23307,2023,1,89
19925,2023,1,88
19369,2023,1,90
23294,2023,1,88
23132,2023,1,79
19114,2023,1,87
18934,2023,1,89
23286,2023,1,87
19449,2023,1,86
19640,2023,1,88
23298,2023,1,87
23336,2023,1,79
18899,2023,1,88
19099,2023,1,79
23285,2022,2,90
24940,2023,1,87
19491,2022,2,86
24930,2023,1,86
25011,2023,1,89
25018,2023,1,87
24904,2023,1,80
19826,2022,2,80
19291,2022,2,86
17957,2022,2,78
19887,2023,1,77
19889,2023,1,0
16864,2022,1,86
18320,2023,1,78
20194,2023,1,90
20164,2023,1,87
23285,2023,1,86
19912,2023,1,87
19350,2023,1,89
20471,2022,2,90
18312,2023,1,0
19477,2023,1,0
21637,2022,2,90
19163,2023,1,80
19048,2023,1,76
19514,2023,1,0
25001,2023,1,88
20241,2023,1,86
24978,2023,1,86
21484,2023,2,87
18850,2023,1,78
20881,2023,2,88
23037,2023,2,89
20680,2023,2,87
19416,2023,2,87
21392,2023,2,89
22093,2023,2,89
21485,2023,2,86
22595,2023,2,78
21528,2023,2,90
21102,2023,2,88
22750,2023,2,86
20983,2023,2,87
21845,2023,2,86
20940,2023,2,79
23069,2023,2,86
23277,2023,1,86
17709,2022,1,70
22237,2023,2,84.9
20969,2023,2,87
20974,2023,2,86
22652,2023,2,87
21176,2023,2,88
22836,2023,2,87
21343,2023,2,88
19697,2023,2,90
21765,2023,2,80
19293,2023,2,86
22695,2023,2,89
22690,2023,2,78
22810,2023,2,89
22099,2023,2,84
20876,2023,2,87
21037,2023,2,0
20745,2023,2,79
24962,2023,2,87
21207,2023,2,88
21381,2023,2,78
21355,2023,2,88
22285,2023,2,69
21525,2023,2,88
17944,2023,2,0
18962,2023,2,80
23149,2023,2,80
21122,2023,2,89
21678,2023,2,79
18837,2023,2,90
21472,2023,2,0
25051,2023,2,90
24947,2023,2,80
19032,2023,2,90
20815,2023,2,0
20402,2023,2,90
20695,2023,2,86
21170,2023,2,80
22100,2023,2,90
21904,2023,2,91
21903,2023,2,77
21430,2023,2,78
20263,2023,2,89
21463,2023,2,80
19363,2023,2,89
20837,2023,2,78
20813,2023,2,86
19568,2023,2,91
20938,2023,2,89
21906,2023,2,86
22840,2023,2,87
20712,2023,2,87.7
20707,2023,2,90
20185,2023,2,88
21453,2023,2,87
22599,2023,2,76
21512,2023,2,88
18269,2023,2,39.5
20911,2023,2,67
20896,2023,2,0
19922,2023,2,89
21766,2023,2,79
20289,2023,2,88
22684,2023,2,87
20132,2023,2,80
21835,2023,2,86
20119,2023,2,80
21663,2023,2,0
21045,2023,2,90
25009,2023,2,89
19487,2023,2,0
21404,2023,2,79
21841,2023,2,77
24929,2023,2,80
19042,2023,2,86
22998,2023,2,86
21662,2023,2,88
20763,2023,2,76
21195,2023,2,87
21473,2023,2,90
20759,2023,2,76
21107,2023,2,89
21213,2023,2,86
19114,2023,2,86
21397,2023,2,89
21460,2023,2,86.05
19077,2023,2,90
20779,2023,2,86
19930,2023,2,88
20865,2023,2,78
20795,2023,2,86
24915,2023,2,0
20907,2023,2,86
22283,2023,2,91
21401,2023,2,86
22946,2023,2,86.8
21156,2023,2,84.95
21020,2023,2,90
21407,2023,2,89
20217,2023,2,88
21434,2023,2,87
22107,2023,2,86
21178,2023,2,79
21632,2023,2,87
21440,2023,2,76
22624,2023,2,80
21631,2023,2,89
19036,2023,2,86
19691,2023,2,86
21681,2023,2,0
23223,2023,2,76.7
16685,2022,1,89
16685,2022,2,77
21105,2023,2,89
19882,2023,2,86
21646,2023,2,87
19258,2023,2,86
21441,2024,1,86.5
22941,2024,2,77.3
21681,2025,1,
22465,2024,2,84.7
27111,2024,1,83
20212,2024,2,
23651,2024,2,
24660,2024,2,77.7
22392,2024,2,79.2
20767,2024,2,87.8
22272,2024,2,84.6
19477,2024,1,0
21825,2024,1,0
22889,2025,1,
21648,2024,1,88.1
22009,2025,1,
23150,2024,2,88.65
17239,2023,2,0
22166,2024,2,72.95
18967,2023,2,86
24240,2024,2,
22761,2024,2,78.05
22210,2024,2,77.15
22404,2024,2,82.9
20682,2025,1,
20713,2024,2,88.78
23666,2024,2,
24482,2024,2,
23829,2024,2,
24451,2024,2,84
24638,2024,2,86.3
22014,2025,1,
20966,2024,1,83.6
21791,2024,1,80.1
21260,2024,1,80.5
22244,2024,2,83.75
27173,2024,2,
20995,2024,2,87.67
27071,2024,1,42.2
27105,2024,1,82
27009,2024,1,89.6
25001,2024,1,87.75
27093,2024,1,89.1
22572,2024,2,85.62
23626,2024,2,88.35
22789,2024,2,80.93
22793,2024,2,87.77
27003,2024,2,84.9
21196,2024,2,
27053,2024,1,0
22047,2025,1,
22011,2024,2,89.85
22647,2025,1,
23214,2024,2,
22041,2024,2,83.6
22948,2024,2,78.6
22409,2024,2,88.7
22619,2024,2,84.94
22940,2025,1,
27115,2024,1,82.15
21014,2024,1,85.8
22294,2024,2,85.53
22271,2024,2,73.66
21265,2024,1,0
27023,2024,1,87.1
20685,2024,2,86.57
22057,2024,2,90.3
22705,2023,2,80.8
22722,2023,2,79.5
21674,2024,2,82.9
27033,2024,2,89.6
20836,2024,1,0
22950,2024,2,80.75
20801,2024,1,77.8
21046,2024,1,87.7
24941,2024,1,89
22631,2024,2,89.37
21613,2024,1,84.9
21379,2024,1,0
20937,2024,2,77.54
21003,2024,2,74.74
19615,2024,2,
20937,2023,2,79
27027,2024,2,82.95
22466,2024,2,83.5
22425,2024,2,84
20686,2024,1,87.45
21421,2024,2,
24480,2024,2,86.7
21598,2024,1,86.85
21664,2024,2,
22203,2024,2,
21740,2024,2,81.8
22487,2025,1,83.6
23072,2024,2,
22443,2025,1,77.35
22787,2023,2,78
19576,2023,2,87
24626,2024,2,81.95
22882,2023,2,76
27103,2024,1,84.6
21590,2023,2,80
22572,2023,2,89
19659,2023,2,0
22734,2023,2,86.9
22284,2023,2,79
24936,2023,2,80
21514,2024,1,67.6
27004,2024,1,81
21601,2023,2,86
19112,2023,2,79
22100,2024,2,85.03
21464,2024,1,76.15
22039,2024,2,84.6
18878,2023,2,86
22228,2025,1,
22613,2024,2,
20941,2024,2,85.02
21495,2024,2,78.2
27087,2024,1,86.3
21693,2024,2,86.25
19229,2024,1,75.92
22935,2024,2,83.05
20958,2024,2,66.35
23339,2023,2,0
24355,2024,2,77.9
23874,2024,2,82.05
22639,2023,2,90
21358,2023,2,90
24490,2024,2,79.5
21740,2023,2,83
23020,2024,2,77.62
22063,2024,2,85.35
21478,2024,1,81.55
20898,2024,2,86.15
22038,2024,2,85.4
20918,2024,2,94.39
21080,2024,2,87.88
24372,2024,2,
27082,2024,2,84.95
22857,2024,2,83.55
22762,2024,2,84.81
25025,2023,2,38.5
21015,2024,1,0
21663,2024,1,0
20880,2024,1,82.15
23010,2024,2,81.9
20847,2023,2,86
24975,2023,2,0
19279,2022,2,89
20769,2024,2,77.42
22033,2024,2,86.7
22501,2024,2,83.55
23950,2024,2,81
24594,2024,2,77.35
24610,2024,2,83.55
20705,2024,2,75.46
22143,2025,1,
22614,2025,1,
22893,2025,1,
