"MAHASISWA","TAHUN","SEMESTER","RATA_NILAI"
19489,2020,1,74
19450,2021,1,77.75
18869,2020,1,75.6
19418,2020,2,80
20563,2020,2,72.25
18991,2020,1,72
20322,2020,1,88
20125,2020,1,89.5
19337,2020,2,83.8
19311,2020,2,85.2
18963,2020,2,88.2
20301,2020,2,82.8
19355,2021,1,73
19648,2021,1,73.6
20125,2020,2,82
20176,2021,2,83.6
20308,2021,2,81.2
20322,2021,2,83.8
19561,2021,2,86.4
17733,2019,1,80.5
17395,2019,1,83.75
17886,2019,1,80.75
18027,2019,1,77.25
19958,2021,1,91.6
19616,2021,1,83
20534,2021,1,88.2
20580,2021,1,77.6
21283,2021,1,72.5
20948,2021,1,73.5
18091,2020,2,82.33
18002,2020,1,77.67
17288,2020,1,79.83
21174,2021,2,71.83
21398,2021,2,76.67
18893,2021,1,85.8
19381,2021,1,91.2
21155,2021,2,80.83
21710,2021,2,86.17
21237,2021,1,79.25
20933,2021,1,78
21192,2021,1,81
21276,2021,1,77.5
21277,2021,1,81
21288,2021,1,73
19556,2021,2,85.2
19878,2021,1,85
20103,2021,2,76
18870,2021,2,64.4
20300,2021,2,84.8
19843,2021,2,82.6
19658,2021,2,80.6
19418,2020,1,86
19843,2020,1,78
18918,2020,1,81.5
19756,2020,1,78
19351,2020,1,81.5
20174,2020,2,69.83
18870,2020,2,76.33
20272,2020,2,75.83
19008,2020,2,78.33
19560,2020,2,82
19708,2020,2,79.67
20384,2021,2,83.5
19487,2021,2,78.25
20564,2021,2,83.5
19090,2021,2,76.25
20547,2021,2,76
19832,2021,2,74.5
19475,2021,2,79.33
20972,2021,2,79.6
17835,2021,1,78.14
19618,2020,1,75.25
19956,2021,1,84.2
19407,2021,1,82.2
20692,2021,2,78.4
19254,2020,1,68.75
21412,2021,1,79.8
21453,2021,1,80
21558,2021,1,83.4
21615,2021,1,82
21751,2021,1,79.6
18218,2020,2,83.33
19536,2020,1,83.5
20321,2020,1,85
20156,2020,1,73.25
17531,2021,1,81
17981,2021,1,77.57
21125,2021,1,81.4
20350,2020,1,82.5
21429,2021,2,77.8
21707,2021,2,90
21461,2021,2,59.4
18916,2021,1,70.5
21904,2021,1,78.2
20673,2021,1,79.8
21127,2021,1,81.4
17773,2021,1,84.57
18273,2021,1,86
17647,2021,1,86.29
18216,2021,2,82.2
18204,2021,2,82.6
18144,2021,2,70.2
20684,2021,2,78.4
20355,2020,2,81.2
17705,2021,1,81.29
18006,2021,1,79.14
18145,2021,1,80
21762,2021,2,86.67
21685,2021,1,79.25
19488,2021,1,85.17
17856,2021,1,87.57
19382,2021,2,78.25
19010,2021,2,73.5
21049,2021,2,79.6
21009,2021,2,83
20384,2021,1,82
19635,2021,1,78.25
21175,2021,1,86.25
18178,2019,2,68.71
19554,2020,1,78.75
18995,2020,1,79
18155,2020,1,74.71
18312,2020,1,74.75
18315,2020,1,76.75
19452,2021,1,78.38
21114,2021,1,77.5
18293,2020,2,83.43
18880,2020,2,80.4
18136,2020,2,74.83
18088,2020,2,78.17
20417,2020,2,77.2
20274,2020,2,74
19688,2020,2,77
17957,2020,2,76.83
19019,2020,1,73.25
18836,2020,1,77
19042,2020,1,74.25
20338,2020,1,75.25
20501,2020,1,70.25
18338,2020,2,71.71
18315,2020,2,78.86
18327,2020,2,79.43
19831,2020,1,72.67
19891,2021,2,75.17
17622,2019,2,76.14
18107,2020,1,79.57
19615,2020,2,75.43
20293,2020,2,72.71
19368,2020,2,76
19048,2021,2,74.67
20241,2021,2,74.83
20842,2021,2,81
20680,2021,2,80.4
20785,2021,2,76.2
20783,2021,2,75.8
18294,2019,1,71
18348,2019,1,73.6
19432,2021,1,79.71
19368,2021,1,75.29
21743,2021,2,71.6
18294,2019,2,74.33
18311,2019,2,78.17
17829,2021,1,77.67
19327,2021,2,75.83
19368,2020,1,73
19391,2020,1,76.75
18165,2019,1,75.25
19030,2021,2,73.17
19709,2021,2,74.17
20293,2021,2,75
19451,2020,2,76.2
20344,2020,2,78.6
20263,2020,2,78.6
21927,2021,2,80.17
20726,2021,1,82.67
21115,2021,1,78.5
17212,2019,1,75
19671,2021,2,79.33
19062,2021,1,76.86
19335,2021,1,76.57
19517,2021,1,77.86
19646,2021,1,76.86
18943,2021,1,71
18232,2021,1,78.33
17669,2021,1,80
17247,2021,1,82
17306,2021,1,81
20422,2021,1,80.43
21149,2021,1,79
19178,2021,1,74.86
20795,2021,1,84
17609,2019,2,80.8
17288,2019,2,83.8
18091,2019,2,82
17608,2019,1,84.8
17450,2019,1,79.6
18076,2019,1,86.8
19529,2020,1,79.5
19083,2020,1,67
17210,2020,1,79.83
17868,2019,2,78.4
18213,2019,2,77.6
18096,2019,2,77.8
18112,2019,1,74.75
18068,2019,1,69.75
17370,2020,2,82.17
21049,2021,1,83.5
19874,2021,1,84.33
17609,2020,2,80.5
20414,2021,1,74.75
19691,2020,2,83.8
19539,2020,2,85.8
18890,2020,2,84.4
17370,2021,2,87
17641,2019,1,71.5
18011,2019,1,81
20890,2021,1,80.75
17280,2020,1,79.33
17835,2020,1,80.83
17696,2019,2,78.8
20771,2021,2,78.2
17738,2020,2,78.25
18012,2020,1,74.5
18069,2020,2,74.25
18145,2020,2,72.5
17915,2020,2,75.5
19378,2020,1,80.4
20320,2020,1,79.8
20402,2020,1,82.2
19119,2021,2,73.44
19752,2021,2,77.75
20482,2021,2,73.63
19009,2021,2,76.75
19519,2021,2,74.63
17306,2020,2,80
18597,2020,2,79.67
17187,2020,2,79.83
21624,2021,1,81.75
20778,2021,1,82.75
20861,2021,1,83.25
18062,2020,2,75.17
17717,2020,2,77
18092,2020,2,77.5
17417,2020,1,72.43
20752,2021,2,74.4
20973,2021,2,72.4
21100,2021,2,73
21152,2021,2,73.8
19697,2020,2,78.2
19207,2020,2,78.6
17187,2019,1,80.75
18912,2020,1,81.75
18940,2020,2,77.2
18956,2020,2,80.2
21969,2021,2,83
19533,2021,2,80.33
19497,2021,2,76.67
19438,2020,2,76.6
19921,2021,2,81
19249,2021,2,79.22
19931,2021,2,78.11
20214,2021,2,72.89
20736,2021,2,77.4
21046,2021,2,77.4
21198,2021,2,80
21124,2021,2,78
20263,2020,1,78.25
17357,2019,2,74
17187,2019,2,76.8
17905,2019,2,76.2
17814,2019,2,76.4
17742,2019,2,76
19695,2020,1,76.75
21858,2021,2,81
21880,2021,2,80.57
21981,2021,2,79.71
20984,2021,2,79
21765,2021,2,73.86
21060,2021,2,82.8
21097,2021,2,82.2
21510,2021,2,78.8
18253,2019,1,75.75
20755,2021,2,71.4
21475,2021,2,78.8
18065,2020,2,75.89
19931,2020,2,74.5
18094,2020,2,83.11
17845,2020,2,86
20753,2021,1,82.5
18132,2019,2,72.6
17777,2019,2,78.6
17963,2019,2,76.6
18206,2019,2,68.4
18095,2021,1,76
17757,2021,1,82.17
17365,2021,1,75.67
17503,2021,1,73.5
21013,2021,1,79.5
21189,2021,1,77.5
21041,2021,1,85.4
20850,2021,1,77.2
17645,2020,2,83
17728,2020,2,86.83
17904,2019,1,84
17192,2019,1,88.5
18577,2019,1,84
21505,2021,2,69.8
21570,2021,2,79.8
21139,2021,2,76.6
17716,2019,2,77.33
17845,2019,2,79.67
17657,2020,1,87.25
17365,2020,1,77.75
18130,2020,1,78
17319,2019,1,78.88
20568,2020,2,76.83
17870,2020,1,76.2
19690,2020,2,77.86
17637,2020,2,75.33
17979,2020,2,77.33
18235,2020,2,72.67
21172,2021,1,75.8
21189,2021,2,78.5
21013,2021,2,77.75
17758,2020,2,81.33
19647,2020,2,81.5
21207,2021,2,67.5
18259,2021,2,90
17655,2021,2,91.5
18095,2021,2,83.5
17668,2021,2,90.5
17503,2021,2,88.5
17239,2021,2,72
17676,2019,1,84.5
20368,2020,2,72.33
19498,2020,2,74.57
19398,2020,1,78.38
18981,2020,1,74.75
19931,2020,1,79.13
20368,2020,1,79.25
20690,2021,1,81
20706,2021,1,84.67
18202,2021,1,76
17964,2020,1,78
17636,2020,1,79.86
17672,2020,1,81
17418,2020,1,75.75
17998,2020,1,79.5
17607,2020,1,79.5
18169,2020,2,74.22
17663,2020,1,79.86
19373,2020,1,76.57
19031,2020,2,84.83
19336,2020,2,82.83
19973,2020,2,73.17
17672,2021,2,90
21003,2021,1,88.33
21817,2021,1,84
21156,2021,1,85
20312,2021,1,80.43
20905,2021,2,83
20880,2021,2,83.6
21674,2021,2,78.6
20312,2021,2,78.25
20471,2021,2,79.25
17623,2021,1,81.71
19454,2020,1,76.25
19672,2020,1,74.63
17964,2021,1,81.71
18261,2021,1,82.29
20819,2021,1,78.33
20187,2020,1,75.29
17806,2019,2,79.5
20316,2021,2,79.13
17623,2021,2,78
17363,2021,2,70
17779,2020,1,79.57
19562,2020,1,76.71
18403,2019,1,80
17209,2019,1,79.25
19123,2020,1,76.14
19009,2020,1,77
17750,2020,1,78
19601,2020,1,82.8
17981,2019,2,80.4
17211,2019,2,78.6
17695,2019,2,79.8
19724,2021,1,80.38
19148,2021,1,73
19423,2021,1,79.86
19548,2021,1,79.14
21606,2021,1,77.43
19363,2020,1,76
21670,2021,2,78.6
21749,2021,2,70.4
17282,2021,1,81.29
18260,2021,1,78.29
21829,2021,1,81.4
21878,2021,1,81.4
17532,2021,1,67.43
20163,2021,1,76.71
21616,2021,1,75.43
21440,2021,1,76.17
20800,2021,1,79.67
21789,2021,1,73.14
21677,2021,1,74
18318,2021,1,77.14
19917,2021,1,82.5
17944,2021,1,74.17
18336,2021,1,80.71
20575,2021,1,77.86
17907,2021,1,73.83
17622,2021,2,64
18230,2021,2,66
20330,2021,2,74.17
20294,2021,2,80.5
18088,2021,1,79.17
21411,2021,1,74.17
17266,2021,2,66
19205,2021,1,81.4
21568,2021,1,78
21691,2021,1,76.5
21017,2021,1,88
21457,2021,1,83
19877,2020,1,72.5
20331,2021,2,83.17
19415,2021,2,78.83
19852,2021,2,84.5
19955,2021,2,72.67
20379,2021,2,75.83
19614,2021,2,77.8
19415,2020,1,74
19066,2020,1,72.5
20252,2020,1,89
19082,2021,1,74.6
21879,2021,2,72
21914,2021,2,79.17
21992,2021,2,82.83
20571,2021,1,79.6
20221,2021,2,77.4
19150,2020,1,78
20536,2020,2,88
20128,2020,2,81.6
19946,2020,2,83
19506,2020,2,79.33
19209,2021,2,76.5
19021,2021,2,75.33
20861,2022,1,80.57
23013,2022,1,74
20845,2021,1,83
22944,2022,1,78
19958,2022,1,76
21753,2022,1,77.71
19660,2020,2,69.8
20151,2020,2,66.4
19220,2020,1,77
19433,2020,1,78.5
20936,2021,2,77.6
20768,2021,1,83.5
19470,2020,2,81.67
19433,2020,2,76.33
20805,2021,2,71.2
21445,2021,2,81.4
21502,2021,1,59.5
21650,2021,1,82
21663,2021,1,71
21220,2021,1,72
21046,2022,1,77.14
22063,2022,1,84.5
21564,2022,1,79.86
19797,2022,1,79.2
22639,2022,1,82.4
21125,2022,1,84.2
20340,2022,1,80.67
22668,2022,1,75
20341,2022,1,75.43
22641,2022,1,74.17
21484,2022,1,75.86
19226,2022,1,82.33
22508,2022,1,86.5
21798,2022,1,80.8
23065,2022,1,84.67
22844,2022,1,74
22390,2022,1,78.6
17816,2022,1,78
22397,2022,1,82.5
19931,2022,1,78.4
20962,2022,1,84.83
22853,2022,1,78.67
22751,2022,1,82.5
21099,2022,1,76.86
21044,2022,1,84.4
22111,2022,1,79.2
19653,2022,1,78.14
22891,2022,1,81
19122,2022,1,77.4
20890,2022,1,82.5
23016,2022,1,79.25
19536,2022,1,78.33
20747,2022,1,84.17
22362,2022,1,81.8
19249,2022,1,80.6
21530,2022,1,86.6
21256,2022,1,80.17
20800,2022,1,78.17
22042,2022,1,79.5
19020,2022,1,80.67
20161,2022,1,76.63
17472,2022,1,83.5
20796,2022,1,80.67
21113,2022,1,76.17
21171,2022,1,79.67
18236,2022,1,81.33
22554,2022,1,72
22283,2022,1,78
20527,2022,1,75.8
19909,2022,1,84.6
21193,2022,1,80.83
22897,2022,1,81
18215,2022,1,79
22275,2022,1,79.67
18062,2022,1,77
20811,2022,1,78.71
22995,2022,1,78
22931,2022,1,82.67
