"MAHASISWA","TAHUN","SEMESTER","RATA_NILAI"
22491,2024,2,0
19055,2025,1,0
23178,2025,1,0
22639,2025,1,0
20797,2025,1,0
20583,2020,1,0
21541,2022,1,0
22711,2022,2,0
22083,2023,1,0
24205,2023,3,0
21791,2023,3,0
21804,2023,2,0
17375,2024,2,0
19659,2024,1,0
22787,2024,2,0
26095,2025,1,0
19254,2022,2,0
27052,2025,1,0
25411,2025,1,0
28445,2025,1,0
24391,2024,4,0
17722,2022,2,0
21027,2022,1,0
22530,2022,1,0
23324,2022,4,0
20831,2022,4,0
21047,2023,1,0
24023,2023,1,0
24266,2023,1,0
21619,2023,3,0
24314,2023,2,0
26367,2025,1,0
24609,2023,2,0
23219,2024,1,0
24577,2025,1,0
18269,2022,4,0
17375,2024,1,0
25341,2024,3,0
23581,2023,4,0
26991,2025,1,0
27095,2025,1,0
24703,2023,1,0
21767,2024,2,0
26014,2024,2,0
21029,2024,2,0
21148,2023,4,0
24967,2024,1,0
26632,2024,3,0
24241,2023,4,0
24485,2023,4,0
19083,2024,4,0
26677,2025,1,0
27056,2025,1,0
23034,2022,1,0
21203,2022,1,0
21047,2022,4,0
23872,2023,1,0
24625,2023,1,0
24519,2024,1,0
26240,2024,4,0
22547,2024,2,0
24372,2024,3,0
24663,2024,3,0
26921,2025,1,0
24663,2024,4,0
21438,2024,2,0
20582,2020,1,0
22263,2022,1,0
22372,2023,1,0
24975,2023,2,0
22298,2023,4,0
25820,2024,4,0
21143,2024,4,0
22832,2024,2,0
23072,2024,2,0
22723,2023,2,0
18898,2023,4,0
19659,2024,2,0
19659,2023,2,0
21263,2024,2,0
24159,2023,4,0
22423,2025,1,0
22905,2025,1,0
22076,2022,1,0
22411,2022,1,0
21143,2022,1,0
22934,2022,1,0
22174,2022,1,0
20266,2022,1,0
24320,2023,1,0
22723,2023,3,0
28317,2025,1,0
23174,2024,2,0
19514,2023,2,0
22538,2024,2,0
27831,2025,1,0
26113,2024,3,0
19083,2024,2,0
19083,2023,4,0
24532,2024,4,0
24663,2025,1,0
20850,2025,1,0
27117,2025,1,0
23072,2025,1,0
24541,2025,1,0
22549,2022,1,0
22892,2022,1,0
21431,2022,1,0
22205,2024,2,0
21515,2024,2,0
24519,2024,2,0
21142,2024,2,0
22205,2023,4,0
23103,2023,4,0
28915,2025,1,0
21148,2025,1,0
18082,2019,1,0
19380,2022,1,0
22286,2022,1,0
17239,2022,4,0
24015,2023,3,0
24047,2023,2,0
27662,2025,1,0
19254,2022,3,0
19514,2024,1,0
23572,2024,3,0
24159,2024,3,0
22065,2024,2,0
23042,2025,1,0
21767,2025,1,0
20246,2023,1,0.2
21619,2024,1,1.25
22754,2022,2,1.43
26195,2024,2,1.46
19454,2022,1,1.57
22939,2025,1,1.91
24152,2023,1,2.33
24285,2023,1,2.33
26052,2024,1,2.38
23610,2024,1,2.5
24921,2023,1,2.75
25726,2024,2,2.83
20370,2022,1,3
26380,2024,1,3.6
25646,2025,1,3.69
22137,2022,1,3.71
20698,2022,4,4
28245,2025,1,4.4
24423,2025,1,4.67
21533,2022,1,5
24604,2024,1,5.6
26525,2024,1,5.93
28726,2025,1,6
23574,2024,1,6.46
23004,2023,2,6.83
21372,2022,1,6.83
19889,2023,1,7
22976,2023,2,7
24241,2025,1,7.43
18030,2019,1,7.5
18269,2022,2,7.67
26170,2024,2,7.85
26872,2024,2,8.75
22696,2022,3,9
23226,2022,3,9
23308,2022,2,9.75
27110,2024,1,10
24538,2023,1,10
22037,2022,1,10
24713,2023,1,10
21172,2022,2,10
23103,2025,1,10.91
22564,2022,1,11
22520,2022,1,11
21722,2024,1,11.09
21282,2024,2,11.25
22797,2022,1,11.67
23219,2022,4,11.67
23111,2022,1,11.67
27235,2025,1,11.84
22456,2025,1,12.06
25341,2025,1,12.3
22085,2022,1,12.57
21715,2022,2,12.75
21701,2022,3,12.75
22357,2022,1,12.83
22824,2022,1,12.83
17375,2022,2,13
22717,2022,1,13.17
21623,2022,2,13.33
23051,2024,2,13.56
23127,2022,1,13.86
19601,2022,2,14.5
22862,2022,1,14.5
24534,2023,1,14.5
26299,2024,2,15.1
24720,2023,2,15.5
26653,2025,1,15.8
25341,2024,2,16.75
19889,2022,1,16.75
24159,2024,1,17.14
21126,2022,2,18
22162,2024,2,18.55
19659,2025,1,18.7
20960,2025,1,18.73
22743,2022,1,18.83
23796,2023,1,19
20772,2024,2,19
20797,2024,2,19.25
22201,2022,1,19.29
22906,2022,1,19.83
22372,2022,4,20
23219,2023,1,20.25
22939,2022,4,20.33
23103,2023,2,20.5
22029,2023,1,21
25639,2025,1,21.56
21535,2024,2,21.6
21453,2024,2,21.6
27147,2025,1,21.63
21579,2022,2,22
26240,2025,1,22.07
19334,2021,2,22.4
23191,2022,2,22.5
26458,2024,3,22.65
22288,2022,1,22.75
17853,2021,2,23.2
23803,2023,1,23.5
26653,2024,2,23.6
23070,2022,1,23.71
21241,2022,2,23.83
23107,2025,1,25.4
26470,2024,2,25.5
21722,2025,1,26
21716,2023,2,26
20850,2024,2,26.1
26435,2024,2,26.53
27149,2025,1,26.9
21076,2024,2,27.25
23826,2023,1,27.5
18991,2021,2,27.57
23818,2023,2,27.83
22899,2022,1,28
24577,2024,2,28.67
21659,2022,1,28.75
20850,2024,3,29.4
24597,2023,3,29.5
22512,2022,2,29.83
24057,2023,2,29.83
22140,2023,1,29.83
19254,2023,2,30
19914,2022,3,30
20179,2023,2,30
23741,2023,1,30
22876,2022,2,30.29
27121,2024,2,30.36
27097,2024,2,30.38
26116,2024,1,30.41
23116,2024,3,30.5
22992,2024,3,30.5
24728,2024,3,31
21021,2022,1,31.2
22879,2025,1,31.64
22939,2024,1,31.83
21370,2022,1,32
23821,2024,2,32.31
25646,2024,2,32.47
22025,2023,4,32.5
23851,2023,3,32.5
26555,2024,2,33.48
20246,2024,1,33.5
22436,2023,2,33.6
25467,2024,3,33.75
26654,2024,3,33.75
26647,2024,3,33.75
26916,2024,3,33.75
26418,2024,3,33.75
25806,2024,3,33.75
21722,2022,4,34
22937,2022,2,34
21609,2024,2,34.15
25013,2025,1,34.38
26325,2024,2,34.46
22531,2025,1,34.63
22726,2023,2,34.67
21693,2025,1,34.78
26847,2024,2,35
23851,2023,4,35
21047,2022,2,35
24080,2025,1,35.53
26096,2025,1,35.68
23113,2025,1,35.73
24597,2023,2,35.8
23939,2023,2,35.83
26367,2024,2,35.98
22639,2024,2,36
21701,2022,1,36.29
23821,2023,4,36.5
21767,2024,1,36.5
20954,2024,2,36.63
16870,2022,2,37
22966,2024,2,37
24597,2024,1,37.03
22976,2022,2,37.33
22372,2022,2,37.71
25392,2025,1,37.88
17239,2022,2,38
22937,2022,3,38
