"MAHASISWA","RATA_NILAI"
19107,84.19
19036,83.06
20397,83.31
19496,84.25
19114,80.13
19394,78.29
18963,81.96
19003,81.93
19658,77.93
19880,83.32
20573,77.36
20287,77.54
20308,76.32
18965,81.19
19837,80.07
20176,84.74
19442,87.66
19280,77.91
18207,82.17
18362,76.33
21200,77.5
21187,82.04
21604,75.19
18936,75.97
19165,77.67
20534,82.07
20300,81.97
19652,72.8
20554,73.5
19770,83.41
19011,82.63
20248,83.78
19945,77.34
19256,82.81
19536,81.38
19251,75.16
17280,78.03
17835,76.92
18175,84.37
17981,78.27
18186,77.7
21369,76.08
20948,74.3
20285,79.72
21129,79.85
21031,77.85
20737,82.19
21637,71.39
20765,74.57
21127,79.29
19293,72.68
20315,72.85
19382,79.32
20958,76.68
19065,69.37
20577,67.17
20194,79.53
21904,78.97
21441,83.19
21397,85.69
21577,74
21698,76.59
21482,76.28
21209,78.59
21614,81.92
21088,80.33
21583,77.38
21050,81.81
21012,82.22
17774,79.84
17677,77.53
17288,80.11
17647,80.74
17723,81.26
18353,74.84
21010,84.53
21412,81.49
21558,78.53
21598,79.38
21811,74.7
21825,67.69
19488,83.94
20949,80.22
20857,72.02
20775,84.07
21270,79
20877,75
17495,77.84
17810,73.5
17854,77.09
17498,80.36
18294,76.38
18312,72.98
18163,74.06
18266,68.44
18136,75.82
17691,76.67
18174,74.36
18321,74.96
18299,79.64
18338,73.53
18318,75.8
18336,77.91
19857,76.38
20121,73.4
18962,73.26
19240,70.9
18996,75.77
19329,76.83
19709,74.53
19599,77.87
19172,76.97
19108,80.45
19056,80.5
21621,71.28
19019,70.37
20290,69.83
21521,73.3
20802,76.24
21054,74.6
20716,73.91
19464,83.16
19834,79.38
19234,84.53
19455,80.66
20173,75.21
19937,77
18956,79.58
21343,79.62
18969,81.53
17252,73.73
17786,77.41
18147,75.59
20291,77.63
21086,77.77
20909,73.27
20721,79.44
21061,78.53
21198,78.9
21712,76.59
21727,78.79
18891,78.05
19004,74.55
21030,80.11
20724,78.1
20736,72.34
21046,74.5
17730,78.95
20177,83.75
20561,75.43
17282,79.31
17832,78.74
19049,76.97
19148,68.5
19334,59.83
19519,73.48
17866,80
21167,83.93
