"TAHUN","MAHASISWA","SKOR_MAT","SKOR_FIS","SKOR_ING","SKOR_IND","SKOR_SKO","SKOR_SKO_NALAR","SKOR_SKO_PAHAM","SKOR_SKO_BACAAN","SKOR_SKO_KUANTITATIF","SKOR_BENAR_SEMUA","SKOR_TOTAL"
2021,21166,24,21,21,10.5,15,,,,,212,
2021,21381,36,30,21,15,12,,,,,212,
2021,21056,15,24,7.5,10.5,11,,,,,212,
2021,21267,12,33,12,12,8,,,,,212,
2021,21151,18,15,7.5,9,10,,,,,212,
2021,21108,42,39,9,9,11,,,,,212,
2021,21549,30,24,9,6,4,,,,,128,57.03
2021,21442,27,18,3,6,3,,,,,128,44.53
2021,21809,15,12,3,3,2,,,,,128,32.61
2021,21495,27,24,13.5,7.5,6,,,,,128,60.94
2021,21630,18,24,4.5,6,2,,,,,128,47.84
2021,21774,24,24,6,6,0,,,,,128,46.88
2021,21555,33,15,7.5,12,3,,,,,128,55.08
2021,21645,27,18,1.5,7.5,4,,,,,128,47.73
2021,21449,15,15,7.5,3,3,,,,,128,33.98
2021,21439,27,24,10.5,6,3,,,,,128,55.08
2021,21741,12,21,9,3,3,,,,,128,37.5
2021,21055,57,51,16.5,16.5,14,,,,,212,
2021,21358,21,30,15,15,13,,,,,212,
2021,21274,12,18,7.5,12,7,,,,,212,
2021,20938,45,33,15,16.5,14,,,,,212,
2021,21164,45,39,18,12,13,,,,,212,
2021,21089,12,9,3,7.5,9,,,,,212,
2021,21066,48,42,16.5,13.5,8,,,,,212,
2021,21074,24,21,12,13.5,8,,,,,212,
2021,21244,33,48,10.5,18,8,,,,,212,
2021,21002,12,15,6,7.5,11,,,,,212,
2021,21106,15,12,6,4.5,6,,,,,212,
2021,21369,21,27,12,15,6,,,,,212,
2021,21220,18,15,4.5,9,13,,,,,212,
2021,21530,24,21,10.5,6,6,,,,,128,52.73
2021,21396,21,18,4.5,3,0,,,,,128,41.59
2021,21559,33,15,4.5,7.5,4,,,,,128,50
2021,21719,9,18,3,3,2,,,,,128,27.34
2021,21553,33,21,10.5,4.5,2,,,,,128,52.85
2021,21556,24,9,6,7.5,2,,,,,128,37.89
2021,21563,45,18,10.5,13.5,4,,,,,128,71.09
2021,21565,33,24,7.5,4.5,6,,,,,128,58.59
2021,21568,39,39,13.5,9,7,,,,,128,83.98
2021,21569,12,9,9,6,6,,,,,128,32.81
2021,21571,9,15,6,6,5,,,,,128,39.02
2021,21572,30,18,4.5,9,6,,,,,128,58
2021,21575,27,15,4.5,7.5,5,,,,,128,46.09
2021,21581,15,15,1.5,7.5,5,,,,,128,38.29
2021,21584,30,30,4.5,7.5,0,,,,,128,56.25
2021,21669,36,21,3,3,6,,,,,128,53.91
2021,21692,39,27,4.5,6,7,,,,,128,70.5
2021,21697,36,15,6,4.5,3,,,,,128,46.54
2021,21698,9,24,6,7.5,3,,,,,128,38.67
2021,21702,42,24,6,6,5,,,,,128,64.84
2021,21705,24,18,4.5,6,5,,,,,128,44.92
2021,21707,21,33,12,7.5,3,,,,,128,59.77
2021,21709,21,3,6,3,0,,,,,128,38.29
2021,21460,24,18,10.5,4.5,5,,,,,128,48.44
2021,21720,18,9,7.5,7.5,5,,,,,128,41.98
2021,21687,42,36,12,12,6,,,,,128,84.38
2021,21583,27,18,6,12,6,,,,,128,53.91
2021,21574,18,18,12,9,4,,,,,128,47.66
2021,21488,36,24,10.5,6,7,,,,,128,65.23
2021,21644,9,18,10.5,9,4,,,,,128,39.45
2021,21811,15,9,7.5,4.5,3,,,,,128,30.47
2021,21708,36,24,6,4.5,1,,,,,128,55.86
2021,21578,30,24,7.5,7.5,2,,,,,128,60.73
2021,21722,12,15,3,6,3,,,,,128,30.47
