"ID_PROPINSI";"NAMA_PROPINSI";"IBUKOTA_PROPINSI";"UANG_HARIAN";"HOTEL_SUITE";"HOTEL_LIMA";"HOTEL_EMPAT";"HOTEL_TIGA";"HOTEL_DUA";"HOTEL_SATU"
1;"JAWA TIMUR";"SURABAYA";350000;4770000;800000;600000;450000;350000;250000
2;"JAWA TENGAH";"SEMARANG";300000;3232000;800000;600000;450000;350000;250000
3;"DKI JAKARTA";"JAKARTA";450000;7920000;1200000;700000;550000;400000;300000
4;"BALI";"DENPASAR";400000;7233000;1500000;1100000;850000;700000;450000
6;"ACEH";"BANDA ACEH";300000;875000;650000;500000;350000;250000;200000
7;"SUMATERA UTARA";"MEDAN";300000;3930000;800000;550000;400000;300000;200000
8;"RIAU";"PEKANBARU";300000;2670000;800000;550000;400000;300000;200000
9;"KEPULAUAN RIAU";"TANJUNG PINANG";300000;3100000;700000;450000;350000;200000;150000
10;"JAMBI";"JAMBI";300000;813000;600000;500000;300000;200000;150000
11;"SUMATERA BARAT";"PADANG";300000;2670000;850000;600000;400000;300000;250000
12;"SUMATERA SELATAN";"PALEMBANG";300000;1440000;750000;500000;350000;250000;200000
13;"LAMPUNG";"BANDAR LAMPUNG";300000;2220000;550000;400000;350000;300000;200000
14;"BENGKULU";"BENGKULU";300000;650000;600000;400000;350000;300000;200000
15;"KEP. BANGKA BELITUNG";"PANGKAL PINANG";300000;975000;550000;400000;350000;250000;150000
16;"BANTEN";"SERANG";300000;2750000;700000;500000;400000;300000;200000
17;"JAWA BARAT";"BANDUNG";350000;1630000;800000;600000;450000;350000;250000
18;"DI YOGYAKARTA";"YOGYAKARTA";350000;3722000;750000;550000;400000;300000;200000
19;"NTB";"MATARAM";350000;4650000;750000;600000;450000;300000;200000
20;"NTT";"KUPANG";350000;1625000;600000;500000;350000;250000;200000
21;"KALIMANTAN BARAT";"PONTIANAK";300000;682000;700000;500000;350000;250000;200000
22;"KALIMANTAN TENGAH";"PALANGKA RAYA";300000;622000;650000;500000;350000;250000;200000
23;"KALIMANTAN SELATAN";"BANJARMASIN";300000;1800000;650000;500000;400000;250000;150000
24;"KALIMANTAN TIMUR";"SAMARINDA";350000;5250000;800000;650000;500000;350000;200000
25;"GORONTALO";"GORONTALO";300000;796000;650000;500000;450000;300000;150000
26;"SULAWESI BARAT";"MAMUJU";300000;198000;600000;500000;400000;300000;150000
27;"SULAWESI SELATAN";"PALU";350000;2500000;800000;650000;500000;350000;200000
28;"SULAWESI TENGAH";"PALU";300000;900000;700000;500000;400000;300000;150000
29;"SULAWESI TENGGARA";"KENDARI";300000;340000;700000;500000;400000;300000;200000
30;"MALUKU";"AMBON";300000;650000;600000;450000;300000;200000;150000
31;"MALUKU UTARA";"TERNATE";300000;200000;600000;450000;300000;200000;150000
32;"PAPUA";"MANOKWARI";450000;1220000;850000;600000;450000;350000;250000
33;"IRIAN JAYA BARAT";"JAYAPURA";400000;960000;650000;500000;400000;300000;200000
34;"SULAWESI UTARA";"MANADO";300000;2380000;750000;600000;500000;350000;200000
35;"LUAR NEGERI";"";;;;;;;
36;"MALUKU TENGGARA";"";;;;;;;
37;"KALIMANTAN UTARA";"KALTARA";;;;;;;
38;"PAPUA BARAT";"";;;;;;;
39;"PAPUA SELATAN";"";;;;;;;
