"TAHUN","MAHASISWA","JENIS_SEKOLAH","NILAI_RAPOR_RATA","NILAI_UN_RATA","NILAI_PRESTASI1","NILAI_PRESTASI2","NILAI_PRESTASI3","NILAI_TOTAL"
2022,22076,"SMA",0,85.33,0,0,0,34.132
2022,22027,"SMK",0,87.23,50,25,9,43.292
2022,22203,"SMA",0,88.6,42.5,42.5,5,44.44
2022,22226,"SMA",0,90.67,0,0,0,36.268
2022,22028,"SMA",0,88.27,0,0,0,35.308
2022,22128,"MA",0,96.8,37.5,9,9,44.27
2022,22078,"SMA",0,82.33,76.5,0,0,40.582
2022,22242,"SMK",0,85.48,0,0,0,34.192
2022,22083,"MA",0,94.87,2.5,0,0,38.198
2022,22120,"MA",0,96.07,67.5,63,58.5,57.328
2022,22122,"MA",0,96.67,63,37.5,35,52.218
2022,22073,"SMA",0,84.47,0,0,0,33.788
2022,22109,"MA",0,86.93,90,90,5,53.272
2022,22050,"SMA",0,90.53,63,0,0,42.512
2022,22159,"SMK",0,88.63,67.5,58.5,0,48.052
2022,22082,"SMK",0,90.93,9,0,0,37.272
2022,22070,"SMA",0,90.33,9,9,9,38.832
2022,22201,"SMA",0,89.33,85,67.5,21.25,53.107
2022,22131,"SMA",0,83.13,76.5,75,9,49.302
2022,22068,"SMA",0,84.13,85,76.5,63,56.102
2022,22264,"SMK",0,86.67,76.5,76.5,76.5,57.618
2022,22118,"SMA",0,85.93,37.5,21.25,0,40.247
2022,22015,"SMK",0,91.14,100,32.5,10,50.706
2022,22186,"SMK",0,92.75,21.25,21.25,17.5,43.1
2022,22211,"SMA",0,87.6,63,54,9,47.64
2022,22134,"SMK",0,89.21,42.5,21.25,5,42.559
2022,22042,"MA",0,95.93,85,76.5,0,54.522
2022,22043,"MA",0,96.73,85,76.5,63,61.142
2022,22095,"MA",0,96.6,76.5,9,0,47.19
2022,22075,"SMA",0,87.73,90,9,9,45.892
2022,22090,"SMA",0,83.2,90,67.5,9,49.93
2022,22008,"SMA",0,88.53,90,67.5,42.5,55.412
2022,22059,"SMA",0,83.8,76.5,67.5,9,48.82
2022,22167,"SMA",0,88.4,90,9,0,45.26
2022,22088,"SMA",0,87,90,76.5,67.5,58.2
2022,22033,"SMA",0,86.67,0,0,0,34.668
2022,22293,"SMK",0,89.39,85,76.5,21.25,54.031
2022,22173,"SMK",0,87.93,0,0,0,35.172
2022,22213,"SMK",0,89.39,0,0,0,35.756
2022,22263,"SMK",0,90.64,67.5,50,25,50.506
2022,22265,"SMK",0,91.14,0,0,0,36.456
2022,22217,"SMA",0,89.8,25,21.25,18.75,42.42
2022,22171,"SMA",0,88.27,0,0,0,35.308
2022,22278,"SMK",0,88.07,0,0,0,35.228
2022,22092,"SMK",0,84.44,0,0,0,33.776
2022,22182,"SMA",0,90,9,0,0,36.9
2022,22010,"SMA",0,86.47,76.5,76.5,75,57.388
2022,22181,"SMK",0,86.11,37.5,18.75,5,40.569
2022,22101,"SMK",0,88,90,18.75,2.5,46.325
2022,22066,"SMA",0,88.2,25,0,0,37.78
2022,22091,"SMA",0,82.6,76.5,76.5,21.25,50.465
2022,22235,"SMA",0,88.4,18.75,9,9,39.035
2022,22032,"SMA",0,87.53,9,0,0,35.912
2022,22281,"SMK",0,92.12,35,0,0,40.348
2022,22144,"SMK",0,90.26,42.5,0,0,40.354
2022,22011,"SMA",0,90,0,0,0,36
2022,22074,"SMA",0,89.67,67.5,0,0,42.618
2022,22029,"SMA",0,87.27,9,9,9,37.608
2022,22017,"SMA",0,89.27,10,9,0,37.608
2022,22206,"SMK",0,87.09,67.5,0,0,41.586
2022,22200,"MA",0,86.47,90,90,67.5,59.338
2022,22209,"MA",0,87.6,90,90,9,53.94
2022,22163,"SMA",0,88.53,0,0,0,35.412
2022,22214,"SMA",0,86.73,0,0,0,34.692
2022,22071,"MA",0,96.6,9,0,0,39.54
