"TAHUN","MAHASISWA","TPS_KUANTITATIF","TPS_BACAAN_MENULIS","TPS_PENALARAN_UMUM","TPS_PENGETAHUAN_PEMAHAMAN","MATEMATIKA","BAHASA_INDONESIA","BAHASA_INGGRIS"
2023,24036,615.23,535.19,674.6,712.11,464.31,694.5,646.55
2023,23975,501.36,630.45,459.31,477.74,549.99,549.34,507.89
2023,24408,490.71,453.11,470.27,434.49,521.03,468.44,518.32
2023,24382,571.24,552.88,656.12,583.69,651.73,703.85,473.16
2023,24494,484.81,592.55,664.1,655.25,651.73,620.5,508.55
2023,23950,534.27,618.99,639.02,634.63,412.81,621.62,465.83
2023,24105,478.01,423.76,649.16,475.07,566.73,526.28,561.84
2023,24162,564.63,538.1,659.89,585.29,442.06,655.87,687.82
2023,24297,400.54,474.17,337.86,349.09,372.48,276.28,466.78
2023,24201,400.54,536.87,677.78,548.55,453.66,595.09,679.8
2023,24072,444.96,334.02,523.92,477.69,363.78,439.13,454.18
2023,24001,529.06,673.33,849.53,614.16,505.84,639.81,655.75
2023,23979,681.19,653.66,748.15,653.53,627.61,605.41,769.14
2023,24214,580.59,683.17,688.52,645.65,481.2,627.2,643.15
2023,23977,372.87,413.93,416.58,463.26,500.05,385.23,404.93
2023,24611,544.87,592.19,768.43,644.34,568.18,706.33,769.14
2023,24055,806.6,626.62,630.07,557.74,369.58,548.07,599.63
2023,24189,483.74,764.31,662.28,625.97,682.69,601.97,608.79
2023,24272,542.43,595.88,637.23,762.44,562.38,669.63,599.63
2023,24310,532.58,632.76,655.12,598.41,494.25,592.79,702.71
2023,24609,412.52,485.23,562.09,494.75,443.51,360,534.35
2023,24052,491.91,653.66,731.45,750.63,634.86,644.4,771.43
2023,24107,483.02,410.24,418.96,583.98,371.03,567.57,576.73
2023,24511,412.52,648.74,625.3,544.61,373.93,752.2,491.97
2023,24111,730.92,389.91,629.52,489.93,431.15,492.96,424.29
2023,23948,489.64,626.74,635.46,668.66,577.75,650.87,689.8
2023,24390,476.17,593.45,736.46,579.3,465.09,740.92,628.08
2023,24451,384.95,599.85,448.91,488.67,531.6,506.99,665.35
2023,24425,465.85,613.93,543.97,599.43,395.86,581.85,696.79
2023,24025,453.56,713.78,734.08,603.2,657.84,680.1,749.18
2023,24544,568.16,503.84,591.5,625.87,432.51,550.27,596.64
2023,24491,729.69,594.73,743.58,676.2,528.89,557.29,667.67
2023,23944,572.85,690.74,712.69,642.23,661.91,735.08,751.52
2023,24114,718.52,409.11,523.77,578.04,368.72,504.65,444.09
2023,24216,389.42,571.69,623.58,612.02,404.01,663.73,646.71
2023,24363,468.84,591.42,532.51,599.01,709.86,492.93,366.19
2023,24336,505.99,640.66,693.87,603.83,598.33,660.55,598.83
2023,24407,685.35,463.43,519.27,524.14,554.35,529.26,442.13
2023,23940,670.36,650.5,711.93,551.91,720.86,756.66,591.59
2023,24222,524.66,421.23,596.33,452.9,482.1,543.33,642.23
2023,24341,364.06,473.27,619.21,606.25,579.49,516.37,522.89
2023,24388,636.02,606.9,835.96,677.49,475.81,635.93,710.93
2023,24457,521.03,613.93,548.17,634.02,577.91,703.91,596.41
2023,24360,498.82,450.77,506.02,574.85,436.54,528.09,496.37
2023,24233,532.41,532.35,618,618.32,386.28,539.81,708.53
